action,destination,top_level,source,relative_within_top,collision
skipped_machine_state,,Bobby Montoya smokejumper photos for Marcia,Bobby Montoya smokejumper photos for Marcia/Thumbs.db,Thumbs.db,
skipped_machine_state,,Camera Roll,Camera Roll/desktop.ini,desktop.ini,
skipped_machine_state,,FYIdaho,FYIdaho/Thumbs.db,Thumbs.db,
skipped_machine_state,,PICS-Pettinger,PICS-Pettinger/Thumbs.db,Thumbs.db,
skipped_machine_state,,Saved Pictures,Saved Pictures/desktop.ini,desktop.ini,
skipped_machine_state,,science trek skin,science trek skin/Thumbs.db,Thumbs.db,
skipped_machine_state,,SCRATCH FOLDER,SCRATCH FOLDER/SCRATCH BIN/!/Thumbs.db,SCRATCH BIN/!/Thumbs.db,
skipped_machine_state,,SCRATCH FOLDER,SCRATCH FOLDER/SCRATCH BIN/Bobby Montoya smokejumper photos for Marcia/Thumbs.db,SCRATCH BIN/Bobby Montoya smokejumper photos for Marcia/Thumbs.db,
skipped_machine_state,,SCRATCH FOLDER,SCRATCH FOLDER/SCRATCH BIN/FYIdaho/Thumbs.db,SCRATCH BIN/FYIdaho/Thumbs.db,
skipped_machine_state,,SCRATCH FOLDER,SCRATCH FOLDER/SCRATCH BIN/PICS-Pettinger/Thumbs.db,SCRATCH BIN/PICS-Pettinger/Thumbs.db,
skipped_machine_state,,SCRATCH FOLDER,SCRATCH FOLDER/SCRATCH BIN/science trek skin/Thumbs.db,SCRATCH BIN/science trek skin/Thumbs.db,
skipped_machine_state,,Screenshots,Screenshots/desktop.ini,desktop.ini,
moved_root,IR Comm Plan.pptx,01 Comm Plan presentation,01 Comm Plan presentation/IR Comm Plan.pptx,IR Comm Plan.pptx,
moved_root,IR-fiscal-year-report.txt,01 Comm Plan presentation,01 Comm Plan presentation/IR-fiscal-year-report.txt,IR-fiscal-year-report.txt,
moved_root,IR-Stats_2021Nov23.xlsx,01 Comm Plan presentation,01 Comm Plan presentation/IR-Stats_2021Nov23.xlsx,IR-Stats_2021Nov23.xlsx,
moved_root,IRWEB.txt,01 Comm Plan presentation,01 Comm Plan presentation/IRWEB.txt,IRWEB.txt,
moved_root,Screenshot 2021-12-29 135955.jpg,01 Comm Plan presentation,01 Comm Plan presentation/ppt captures/Screenshot 2021-12-29 135955.jpg,ppt captures/Screenshot 2021-12-29 135955.jpg,
moved_root,Screenshot 2021-12-29 140240.jpg,01 Comm Plan presentation,01 Comm Plan presentation/ppt captures/Screenshot 2021-12-29 140240.jpg,ppt captures/Screenshot 2021-12-29 140240.jpg,
moved_root,Screenshot 2021-12-29 140923.jpg,01 Comm Plan presentation,01 Comm Plan presentation/ppt captures/Screenshot 2021-12-29 140923.jpg,ppt captures/Screenshot 2021-12-29 140923.jpg,
moved_root,Screenshot 2021-12-29 143325.jpg,01 Comm Plan presentation,01 Comm Plan presentation/ppt captures/Screenshot 2021-12-29 143325.jpg,ppt captures/Screenshot 2021-12-29 143325.jpg,
moved_root,Screenshot 2021-12-29 151450.jpg,01 Comm Plan presentation,01 Comm Plan presentation/ppt captures/Screenshot 2021-12-29 151450.jpg,ppt captures/Screenshot 2021-12-29 151450.jpg,
moved_root,Screenshot 2021-12-29 151941.jpg,01 Comm Plan presentation,01 Comm Plan presentation/ppt captures/Screenshot 2021-12-29 151941.jpg,ppt captures/Screenshot 2021-12-29 151941.jpg,
moved_root,Screenshot_20211228-202312_Twitter.jpg,01 Comm Plan presentation,01 Comm Plan presentation/ppt captures/Screenshot_20211228-202312_Twitter.jpg,ppt captures/Screenshot_20211228-202312_Twitter.jpg,
moved_root,Screenshot_20211229-032051_Twitter.jpg,01 Comm Plan presentation,01 Comm Plan presentation/ppt captures/Screenshot_20211229-032051_Twitter.jpg,ppt captures/Screenshot_20211229-032051_Twitter.jpg,
moved_root,Screenshot_20211229-032232_Twitter.jpg,01 Comm Plan presentation,01 Comm Plan presentation/ppt captures/Screenshot_20211229-032232_Twitter.jpg,ppt captures/Screenshot_20211229-032232_Twitter.jpg,
moved_root,Screenshot_20211229-032713_Twitter.jpg,01 Comm Plan presentation,01 Comm Plan presentation/ppt captures/Screenshot_20211229-032713_Twitter.jpg,ppt captures/Screenshot_20211229-032713_Twitter.jpg,
moved_root,Screenshot_20211229-032805_Twitter.jpg,01 Comm Plan presentation,01 Comm Plan presentation/ppt captures/Screenshot_20211229-032805_Twitter.jpg,ppt captures/Screenshot_20211229-032805_Twitter.jpg,
moved_root,Screenshot_20211229-033100_Twitter.jpg,01 Comm Plan presentation,01 Comm Plan presentation/ppt captures/Screenshot_20211229-033100_Twitter.jpg,ppt captures/Screenshot_20211229-033100_Twitter.jpg,
moved_root,PXL_20240823_160546828.MP.jpg,8-23 fire presser pics,8-23 fire presser pics/PXL_20240823_160546828.MP.jpg,PXL_20240823_160546828.MP.jpg,
moved_root,PXL_20240823_160555861.jpg,8-23 fire presser pics,8-23 fire presser pics/PXL_20240823_160555861.jpg,PXL_20240823_160555861.jpg,
moved_root,PXL_20240823_160608780.jpg,8-23 fire presser pics,8-23 fire presser pics/PXL_20240823_160608780.jpg,PXL_20240823_160608780.jpg,
moved_root,PXL_20240823_164059082.PORTRAIT.ORIGINAL.jpg,8-23 fire presser pics,8-23 fire presser pics/PXL_20240823_164059082.PORTRAIT.ORIGINAL.jpg,PXL_20240823_164059082.PORTRAIT.ORIGINAL.jpg,
moved_root,PXL_20240823_164117906.PORTRAIT.ORIGINAL.jpg,8-23 fire presser pics,8-23 fire presser pics/PXL_20240823_164117906.PORTRAIT.ORIGINAL.jpg,PXL_20240823_164117906.PORTRAIT.ORIGINAL.jpg,
moved_root_renamed,BMO__src_bmo__95cc97c8.md,BMO,BMO/Profiles/BMO.md,Profiles/BMO.md,root_existing
moved_root,BobbyMontoya001.jpg,Bobby Montoya smokejumper photos for Marcia,Bobby Montoya smokejumper photos for Marcia/BobbyMontoya001.jpg,BobbyMontoya001.jpg,
moved_root,BobbyMontoya002.jpg,Bobby Montoya smokejumper photos for Marcia,Bobby Montoya smokejumper photos for Marcia/BobbyMontoya002.jpg,BobbyMontoya002.jpg,
moved_root,BobbyMontoya003.jpg,Bobby Montoya smokejumper photos for Marcia,Bobby Montoya smokejumper photos for Marcia/BobbyMontoya003.jpg,BobbyMontoya003.jpg,
moved_root,BobbyMontoya004.jpg,Bobby Montoya smokejumper photos for Marcia,Bobby Montoya smokejumper photos for Marcia/BobbyMontoya004.jpg,BobbyMontoya004.jpg,
moved_root,BobbyMontoya004back Ratican's Bar Idaho City 1965 Keith McFarland Montoya Lindell.jpg,Bobby Montoya smokejumper photos for Marcia,Bobby Montoya smokejumper photos for Marcia/BobbyMontoya004back Ratican's Bar Idaho City 1965 Keith McFarland Montoya Lindell.jpg,BobbyMontoya004back Ratican's Bar Idaho City 1965 Keith McFarland Montoya Lindell.jpg,
moved_root,BobbyMontoya005.jpg,Bobby Montoya smokejumper photos for Marcia,Bobby Montoya smokejumper photos for Marcia/BobbyMontoya005.jpg,BobbyMontoya005.jpg,
moved_root,BobbyMontoya005back [illegible].jpg,Bobby Montoya smokejumper photos for Marcia,Bobby Montoya smokejumper photos for Marcia/BobbyMontoya005back [illegible].jpg,BobbyMontoya005back [illegible].jpg,
moved_root,BobbyMontoya006.jpg,Bobby Montoya smokejumper photos for Marcia,Bobby Montoya smokejumper photos for Marcia/BobbyMontoya006.jpg,BobbyMontoya006.jpg,
