bill_id,bill_label,budget,program,agency,division,status,last_event_date,last_event_action,link,row
,Enhancement,FY27 Enhancement,General Government,Office of the Governor,Office of Species Conservation,INTRODUCED,03/12,JFAC Budget Setting,https://legislature.idaho.gov/sessioninfo/rs/,2
,Enhancement,FY27 Enhancement,General Government,Office of the Governor,Office of Energy & Mineral Resources,INTRODUCED,03/12,JFAC Budget Hearing,https://legislature.idaho.gov/sessioninfo/rs/,3
,Enhancement,FY27 Enhancement,General Government,Office of the Governor,Comm. on Aging,INTRODUCED,03/12,JFAC Budget Setting,https://legislature.idaho.gov/sessioninfo/rs/,4
,Enhancement,FY27 Enhancement,Health & Human Services,Dept. of Health & Welfare,Div. of Welfare,INTRODUCED,03/12,JFAC Budget Setting,https://legislature.idaho.gov/sessioninfo/rs/,5
,Enhancement,FY27 Enhancement,Health & Human Services,Dept. of Health & Welfare,Mental Health Services,INTRODUCED,03/12,JFAC Budget Setting,https://legislature.idaho.gov/sessioninfo/rs/,6
,Enhancement,FY27 Enhancement,Health & Human Services,Dept. of Health & Welfare,Indirect Support Services,INTRODUCED,03/12,JFAC Budget Setting,https://legislature.idaho.gov/sessioninfo/rs/,7
,Enhancement,FY27 Enhancement,Health & Human Services,Dept. of Health & Welfare,Independent Councils,INTRODUCED,03/12,JFAC Budget Setting,https://legislature.idaho.gov/sessioninfo/rs/,8
S1361,Senate Bill 1361,FY27 Maintenance,Public Safety,,,PASSED,04/09,LAW+,https://legislature.idaho.gov/sessioninfo/2026/legislation/S1361/,9
S1361,Senate Bill 1361,FY27 Maintenance,Public Safety,Dept. of Correction,Community Corrections,PASSED,04/09,LAW+,https://legislature.idaho.gov/sessioninfo/2026/legislation/S1361/,10
S1361,Senate Bill 1361,FY27 Maintenance,Public Safety,Dept. of Correction,Community-Based SUDS Treatment,PASSED,04/09,LAW+,https://legislature.idaho.gov/sessioninfo/2026/legislation/S1361/,11
S1361,Senate Bill 1361,FY27 Maintenance,Public Safety,Dept. of Correction,County & Out-of-State Placement,PASSED,04/09,LAW+,https://legislature.idaho.gov/sessioninfo/2026/legislation/S1361/,12
S1361,Senate Bill 1361,FY27 Maintenance,Public Safety,Dept. of Correction,Management Services,PASSED,04/09,LAW+,https://legislature.idaho.gov/sessioninfo/2026/legislation/S1361/,13
S1361,Senate Bill 1361,FY27 Maintenance,Public Safety,Dept. of Correction,Medical Services,PASSED,04/09,LAW+,https://legislature.idaho.gov/sessioninfo/2026/legislation/S1361/,14
S1361,Senate Bill 1361,FY27 Maintenance,Public Safety,Dept. of Correction,State Prisons,PASSED,04/09,LAW+,https://legislature.idaho.gov/sessioninfo/2026/legislation/S1361/,15
S1361,Senate Bill 1361,FY27 Maintenance,Public Safety,Dept. of Juvenile Corrections,,PASSED,04/09,LAW+,https://legislature.idaho.gov/sessioninfo/2026/legislation/S1361/,16
S1361,Senate Bill 1361,FY27 Maintenance,Public Safety,Idaho State Police,,PASSED,04/09,LAW+,https://legislature.idaho.gov/sessioninfo/2026/legislation/S1361/,17
