Type,Budget,Bill,Status,Description
Maintenance,<i>State Board of Education</i>,☐,☐,2/13 — <b>5% base reduction</b><br>(Governor's 3% + JFAC's 2%)
Maintenance,<i>Public Schools</i>,☐,☐,2/13 — <b>5% base reduction</b><br>(Governor's 3% + JFAC's 2%)
Maintenance,<i>Public Safety</i>,☐,☐,2/13 — <b>5% base reduction</b><br>(Governor's 3% + JFAC's 2%)
Maintenance,<i>Natural Resources</i>,☐,☐,2/13 — <b>5% base reduction</b><br>(Governor's 3% + JFAC's 2%)
Maintenance,<i>Legislative Branch</i>,☐,☐,2/13 — <b>5% base reduction</b><br>(Governor's 3% + JFAC's 2%)
Maintenance,<i>Judicial Branch</i>,☐,☐,2/13 — <b>5% base reduction</b><br>(Governor's 3% + JFAC's 2%)
Maintenance,<i>Health & Human Services</i>,☐,☐,2/13 — <b>5% base reduction</b><br>(Governor's 3% + JFAC's 2%)
Maintenance,<i>General Government</i>,☐,☐,2/13 — <b>5% base reduction</b><br>(Governor's 3% + JFAC's 2%)
Maintenance,<i>Economic Development</i>,☐,☐,2/13 — <b>5% base reduction</b><br>(Governor's 3% + JFAC's 2%)
Maintenance,<i>Constitutional Officers</i>,☐,☐,2/13 — <b>5% base reduction</b><br>(Governor's 3% + JFAC's 2%)
Enhancement,<i>State Board of Education</i><br>Agricultural Research&Extension Service,☐,☐,☐
Enhancement,<i>State Board of Education</i><br>Career Technical Education,☐,☐,☐
Enhancement,<i>State Board of Education</i><br>Charter School Commission,☐,☐,☐
Enhancement,<i>State Board of Education</i><br>College&Universities,☐,☐,☐
Enhancement,<i>State Board of Education</i><br>Community Colleges,☐,☐,☐
Enhancement,<i>State Board of Education</i><br>Department of Education,☐,☐,☐
Enhancement,<i>State Board of Education</i><br>Health Education Programs,☐,☐,☐
Enhancement,<i>State Board of Education</i><br>Idaho Public Television,☐,☐,☐
Enhancement,<i>State Board of Education</i><br>Office of the <i>State Board of Education</i>,☐,☐,☐
Enhancement,<i>State Board of Education</i><br>Special Programs,☐,☐,☐
Enhancement,<i>State Board of Education</i><br>Vocational Rehabilitation,☐,☐,☐
Enhancement,<i>Public Schools</i><br>Administrators,☐,☐,☐
Enhancement,<i>Public Schools</i><br>Central Services,☐,☐,☐
Enhancement,<i>Public Schools</i><br>Children's Programs,☐,☐,☐
Enhancement,<i>Public Schools</i><br>Educational Services for the Deaf&the Blind,☐,☐,☐
Enhancement,<i>Public Schools</i><br>Facilities,☐,☐,☐
Enhancement,<i>Public Schools</i><br>Idaho Digital Learning Academy,☐,☐,☐
Enhancement,<i>Public Schools</i><br>Operations,☐,☐,☐
Enhancement,<i>Public Schools</i><br>Student Support,☐,☐,☐
Enhancement,<i>Public Schools</i><br>Teachers,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Idaho State Police<br>Brand Inspecton,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Idaho State Police<br>Division of Idaho State Police,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Idaho State Police<br>POST Academy,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Idaho State Police<br>Racing Commission,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Department of Juvenile Corrections,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Department of Correction<br>Community Corrections,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Department of Correction<br>Community-Based SUDS Treatment,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Department of Correction<br>County&Out-of-State Placement,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Department of Correction<br>Management Services,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Department of Correction<br>Medical Services,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Department of Correction<br>State Prisons,☐,☐,☐
Enhancement,<i>Natural Resources</i><br>Department of Water Resources,☐,☐,☐
Enhancement,<i>Natural Resources</i><br>Department of Parks&Recreation,☐,☐,☐
Enhancement,<i>Natural Resources</i><br>Department of Fish&Game,☐,☐,☐
Enhancement,<i>Natural Resources</i><br>Department of Environmental Quality,☐,☐,☐
Enhancement,<i>Natural Resources</i><br>Land Board<br>Department of Lands,☐,☐,☐
Enhancement,<i>Natural Resources</i><br>Land Board<br>Endowment Fund Investment Board,☐,☐,☐
Enhancement,<i>Legislative Branch</i><br>Legislative Services Office,☐,☐,☐
Enhancement,<i>Legislative Branch</i><br>Legislative Technology,☐,☐,☐
Enhancement,<i>Legislative Branch</i><br>Legislature,☐,☐,☐
Enhancement,<i>Legislative Branch</i><br>Office of Performance Evaluations,☐,☐,☐
Enhancement,<i>Judicial Branch</i><br>Court Operations,☐,☐,☐
Enhancement,<i>Judicial Branch</i><br>Guardian Ad Litem Program,☐,☐,☐
Enhancement,<i>Judicial Branch</i><br>Judicial Council,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>State Independent Living Council,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Department of Health&Welfare<br>Child Welfare,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Department of Health&Welfare<br>Division of Medicaid,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Department of Health&Welfare<br>Division of Welfare,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Department of Health&Welfare<br>Independent Councils,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Department of Health&Welfare<br>Indirect Support Services,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Department of Health&Welfare<br>Licensing&Certification,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Department of Health&Welfare<br>Mental Health Services,☐,☐,☐
