Budget,Program,Bill,Status,Description
<b>Maintenance</b>,<i>Public Schools</i>,☐,☐,<b>2/13: <i>public schools excluded</b><br>from holdbacks and reductions</i>
<b>Maintenance</b>,<i>Constitutional Officers</i>,☐,☐,<b>2/13: 5% base reduction</b><br>Governor's 3% + JFAC's 2%<br><i>Secretary of State excluded</i>
<b>Maintenance</b>,<i>Economic Development</i>,☐,☐,<b>2/13: 5% base reduction</b><br>Governor's 3% + JFAC's 2%
<b>Maintenance</b>,<i>General Government</i>,☐,☐,<b>2/13: 5% base reduction</b><br>Governor's 3% + JFAC's 2%
<b>Maintenance</b>,<i>Judicial Branch</i>,☐,☐,<b>2/13: 5% base reduction</b><br>Governor's 3% + JFAC's 2%
<b>Maintenance</b>,<i>Legislative Branch</i>,☐,☐,<b>2/13: 5% base reduction</b><br>Governor's 3% + JFAC's 2%
<b>Maintenance</b>,<i>Natural Resources</i>,☐,☐,<b>2/13: 5% base reduction</b><br>Governor's 3% + JFAC's 2%
<b>Maintenance</b>,<i>State Board of Education</i>,☐,☐,<b>2/13: 5% base reduction</b><br>Governor's 3% + JFAC's 2%
<b>Maintenance</b>,<i>Public Safety</i>,☐,☐,<b>2/13: 5% base reduction</b><br>Governor's 3% + JFAC's 2%<br><i>Dept. of Correction and<br>Idaho State Police excluded</i>
<b>Maintenance</b>,<i>Health & Human Services</i>,☐,☐,<b>2/13: 5% base reduction</b><br>Governor's 3% + JFAC's 2%<br><i>Medicaid program excluded</i>
Reduction,<i>Constitutional Officers</i><br><b>Attorney General</b>,☐,☐,<b>2/6: 4% mid-year reduction</b><br>Governor's 3% + JFAC's 1%<br><i><b>FY 26 Additional 1% scenario:</b><br></i>
Reduction,<i>Constitutional Officers</i><br><b>Governor</b>,☐,☐,<b>2/6: 4% mid-year reduction</b><br>Governor's 3% + JFAC's 1%<br><i><b>FY 26 Additional 1% scenario:</b><br></i>
