"Start Time","End Time","Text","Layer ID"
"00;00;00;05","00;00;03;06","You know, US history is that","1"
"00;00;03;06","00;00;06;18","we started by seceding from Great Britain,right?","1"
"00;00;06;18","00;00;09;11","I mean, we said we're notwe don't want to be a part of that.","1"
"00;00;09;11","00;00;12;09","So our American Revolution begins.","1"
"00;00;12;09","00;00;14;27","You know, this story of us saying, no,we don't want that.","1"
"00;00;14;27","00;00;16;03","We want something else.","1"
"00;00;16;03","00;00;18;26","And so that,","1"
"00;00;18;26","00;00;21;10","that sort of begat all of these other","1"
"00;00;21;10","00;00;25;29","kinds of movements,including the US Civil War, that ends up,","1"
"00;00;26;06","00;00;29;21","you know, these breaking awayand sort of forming new things,","1"
"00;00;30;05","00;00;33;26","sort of baked into the DNA for Americans.","1"
"00;00;34;12","00;00;35;25","In a way.","1"
"00;00;35;25","00;00;40;00","One of the people who seemed to bea larger than life figure, particularly","1"
"00;00;40;00","00;00;44;15","after the Civil War, is SenatorOrville Platt from from Connecticut.","1"
"00;00;44;28","00;00;46;01","So, I mean,","1"
"00;00;46;01","00;00;50;15","you had this he was one of these fourRepublican senators who basically set","1"
"00;00;50;15","00;00;54;12","the agenda for much of the legislationof the late 19th century.","1"
"00;00;54;20","00;00;57;04","And he,","1"
"00;00;58;05","00;00;59;10","he had definite opinions","1"
"00;00;59;10","00;01;03;08","about, state developmentand things that he wanted to see,","1"
"00;01;03;15","00;01;06;21","you know, as criteriafor what constituted a good state.","1"
"00;01;07;27","00;01;10;23","Things like, you know,","1"
"00;01;10;23","00;01;13;11","that they needed to be,you know, of a right size.","1"
"00;01;13;11","00;01;16;22","So, you know, trying to figure outwhat's the right mixture of a state","1"
"00;01;16;22","00;01;20;05","that had enough populationbut also had enough territory.","1"
"00;01;20;05","00;01;23;20","But, it could be also sort of self-sufficient","1"
"00;01;23;20","00;01;27;19","and then also, like,you know, that they were willing to adopt,","1"
"00;01;28;07","00;01;32;23","a, a smaller Republican government,you know, with the Constitution","1"
"00;01;32;23","00;01;34;25","and representativesand that sort of stuff.","1"
"00;01;34;25","00;01;37;24","So it it was a sort of mixturethat he was looking","1"
"00;01;37;24","00;01;41;07","for, in, you know,the development of these states.","1"
"00;01;41;07","00;01;42;17","So he was one of the big,","1"
"00;01;44;08","00;01;45;05","factors in","1"
"00;01;45;05","00;01;49;01","like breaking up Dakota Territoryinto north and south because he thought","1"
"00;01;49;26","00;01;53;25","if they admitted it as just one big state,that that was too large for people","1"
"00;01;53;25","00;01;58;00","to be able to interact with,their state government would be too far","1"
"00;01;58;00","00;02;03;09","and costly for people to travel, togo to the state legislature, to, you know,","1"
"00;02;03;09","00;02;09;06","the 1787 Northwest Ordinance, you know,which predates the US Constitution.","1"
"00;02;09;06","00;02;12;06","But that's the thing that sort of sets upthis,","1"
"00;02;12;22","00;02;16;09","systemfor how we turn a territory into a state.","1"
"00;02;16;26","00;02;19;10","And sort of so that that's part of it.","1"
"00;02;19;10","00;02;23;10","So there's sort of this colonial,leftover","1"
"00;02;23;10","00;02;26;09","some of the ideas from the British,that are part of that.","1"
"00;02;26;09","00;02;32;15","Then you get a Jefferson who is interestedin, the yeoman farmer agrarian,","1"
"00;02;32;18","00;02;35;24","sort of vision of the United States.","1"
"00;02;36;12","00;02;39;27","And it was very,enamored with squares or rectangles.","1"
"00;02;39;27","00;02;44;18","And then you've got Lincoln as well,who's sort of in this mix, who's, adding","1"
"00;02;44;18","00;02;49;07","some different elements when it comes to,his interest in the West.","1"
"00;02;49;20","00;02;52;25","So, you know, I mean,starting in the middle of the Civil War,","1"
"00;02;53;09","00;02;54;29","he's thinking about the Homestead Act.","1"
"00;02;54;29","00;02;55;21","He's thinking about","1"
"00;02;55;21","00;03;00;07","the transcontinental railroad, and he'sthinking about land grant colleges.","1"
"00;03;01;19","00;03;02;00","You know, in the","1"
"00;03;02;00","00;03;05;17","midst of utter chaos,that is the Civil war.","1"
"00;03;05;17","00;03;09;17","But add in there to the factthat he is also faced with West Virginia.","1"
"00;03;10;05","00;03;13;01","So breaking off part of Virginia","1"
"00;03;13;01","00;03;16;17","that did not want to go with,the Confederacy.","1"
"00;03;17;05","00;03;21;09","So you've got, you know,a variety of different issues happening","1"
"00;03;21;17","00;03;24;29","that sort of have their rootsin the Lincoln administration, which,","1"
"00;03;25;24","00;03;28;24","I think is also part of the interest in,","1"
"00;03;28;28","00;03;31;22","naming","1"
"00;03;31;22","00;03;34;20","possibly a state after Lincoln.","1"
"00;03;34;20","00;03;37;09","There was, some,","1"
"00;03;37;09","00;03;40;09","some sort of, interest in naming","1"
"00;03;40;09","00;03;43;09","North Dakota Lincoln,the state of Lincoln.","1"
"00;03;43;24","00;03;47;14","And, it was rejected as a possible state name,","1"
"00;03;47;14","00;03;52;15","but that was sort of set out in,in the 1787 Northwest Orient Ordinance.","1"
"00;03;52;15","00;03;56;02","So that's the that ordinance set up the,","1"
"00;03;56;08","00;04;00;17","the process for how we deal with,you know, new territory.","1"
"00;04;00;17","00;04;03;03","And that became sort of the guide for us.","1"
"00;04;03;03","00;04;06;03","And it's an interesting thingbecause it was set up","1"
"00;04;06;03","00;04;10;03","during the Articles of Confederation,which was pre United States of America.","1"
"00;04;10;16","00;04;13;03","And it's but","1"
"00;04;13;03","00;04;16;28","it was such an important issuethat the United States needed to settle.","1"
"00;04;17;14","00;04;20;29","What do we do with this new Ohioterritory,","1"
"00;04;20;29","00;04;24;12","that we have, how are we going to manage this?","1"
"00;04;25;07","00;04;28;20","And they couldn'twait until a constitution was drafted.","1"
"00;04;28;20","00;04;32;25","So they're almost like parallel processes,the Articles of Confederation,","1"
"00;04;32;26","00;04;36;28","Northwest Ordinanceand the US Constitution, which is being,","1"
"00;04;37;01","00;04;41;14","you know, worked on in sevenththat summer of 1787.","1"
"00;04;41;14","00;04;44;27","And Philadelphia, they're happeningalmost at the same time.","1"
"00;04;45;13","00;04;50;01","So it sort of gives you a sensethat, oh, like, wow, this land issue","1"
"00;04;50;01","00;04;56;07","and how these states are going to bedeveloped, is, is important.","1"
"00;04;56;10","00;05;01;28","It's, you know, it has even longer rootsthan, than the Constitution. So,","1"
"00;05;03;15","00;05;06;15","so that act continues to inform,","1"
"00;05;06;20","00;05;10;10","you know, how the processfor these things","1"
"00;05;10;10","00;05;14;04","and setting things upon a rectangular grid system","1"
