UNOFFICIAL ELECTION RESULTS
ADA
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"1001 - SF","United States President","Joel Skousen","2","93.56%"
"1001 - SF","United States President","Kamala D. Harris","377","93.56%"
"1001 - SF","United States President","Chase Oliver","10","93.56%"
"1001 - SF","United States President","Donald J. Trump","1867","93.56%"
"1001 - SF","United States President","Claudia De la Cruz","0","93.56%"
"1001 - SF","United States President","Shiva Ayyadurai","0","93.56%"
"1001 - SF","United States President","Randall Terry","1","93.56%"
"1001 - SF","United States President","Jill Stein","2","93.56%"
"1001 - SF","United States President","Robert F Kennedy Jr.","25","93.56%"
"1001 - SF","United States President","Brian Larry Kienitz","0","93.56%"
"1001 - SF","United States President","Peter Sonski","0","93.56%"
"1001 - SF","United States President","Unassigned write-ins","17","93.56%"
"1001 - SF","United States Representative District 1","Brendan J. Gomez","34","93.56%"
"1001 - SF","United States Representative District 1","Kaylee Peterson","340","93.56%"
"1001 - SF","United States Representative District 1","Matt Loesby","33","93.56%"
"1001 - SF","United States Representative District 1","Russ Fulcher","1802","93.56%"
"1001 - SF","United States Representative District 1","David D Bot","0","93.56%"
"1001 - SF","United States Representative District 1","Margot Dupre","0","93.56%"
"1001 - SF","United States Representative District 1","Unassigned write-ins","3","93.56%"
"1001 - SF","State Senator District 10","Letishia Silva","340","93.56%"
"1001 - SF","State Senator District 10","Tammy Nichols","1875","93.56%"
"1001 - SF","State Representative District 10 Seat A","Nancy Parker","343","93.56%"
"1001 - SF","State Representative District 10 Seat A","Mike Moyle","1876","93.56%"
"1001 - SF","State Representative District 10 Seat B","Shana Tremaine","349","93.56%"
"1001 - SF","State Representative District 10 Seat B","Bruce D. Skaug","1845","93.56%"
"1001 - SF","County Commissioner District 1","Jonathan Lashley","321","93.56%"
"1001 - SF","County Commissioner District 1","Ryan Davidson","1852","93.56%"
"1001 - SF","County Commissioner District 3","Devin Gutierrez","318","93.56%"
"1001 - SF","County Commissioner District 3","Tom Dayley","1838","93.56%"
"1001 - SF","County Sheriff","Doug Traubel","642","93.56%"
"1001 - SF","County Sheriff","Matthew Clifford","1502","93.56%"
"1001 - SF","County Prosecuting Attorney","Johnathan Baldauf","330","93.56%"
"1001 - SF","County Prosecuting Attorney","Jan Bennetts","1819","93.56%"
"1001 - SF","Retain Magistrate Judge Ransom Bailey","YES","1077","93.56%"
"1001 - SF","Retain Magistrate Judge Ransom Bailey","NO","391","93.56%"
"1001 - SF","Retain Magistrate Judge Susan Clark","YES","1054","93.56%"
"1001 - SF","Retain Magistrate Judge Susan Clark","NO","411","93.56%"
"1001 - SF","Retain Magistrate Judge Danica Comstock","YES","1004","93.56%"
"1001 - SF","Retain Magistrate Judge Danica Comstock","NO","385","93.56%"
"1001 - SF","Retain Magistrate Judge Kira L. Dale","YES","999","93.56%"
"1001 - SF","Retain Magistrate Judge Kira L. Dale","NO","379","93.56%"
"1001 - SF","Retain Magistrate Judge Michael Dean","YES","1020","93.56%"
"1001 - SF","Retain Magistrate Judge Michael Dean","NO","357","93.56%"
"1001 - SF","Retain Magistrate Judge Andrew Ellis","YES","988","93.56%"
"1001 - SF","Retain Magistrate Judge Andrew Ellis","NO","389","93.56%"
"1001 - SF","Retain Magistrate Judge Laurie A. Fortier","YES","956","93.56%"
"1001 - SF","Retain Magistrate Judge Laurie A. Fortier","NO","400","93.56%"
"1001 - SF","Retain Magistrate Judge Theresa Gardunia","YES","954","93.56%"
"1001 - SF","Retain Magistrate Judge Theresa Gardunia","NO","406","93.56%"
"1001 - SF","Retain Magistrate Judge Cathleen MacGregor Irby","YES","966","93.56%"
"1001 - SF","Retain Magistrate Judge Cathleen MacGregor Irby","NO","400","93.56%"
"1001 - SF","Retain Magistrate Judge Regan C. Jameson","YES","996","93.56%"
"1001 - SF","Retain Magistrate Judge Regan C. Jameson","NO","349","93.56%"
"1001 - SF","Retain Magistrate Judge Joanne Kibodeaux","YES","950","93.56%"
"1001 - SF","Retain Magistrate Judge Joanne Kibodeaux","NO","404","93.56%"
"1001 - SF","Retain Magistrate Judge David D. Manweiler","YES","971","93.56%"
"1001 - SF","Retain Magistrate Judge David D. Manweiler","NO","383","93.56%"
"1001 - SF","Retain Magistrate Judge Michael McLennan","YES","969","93.56%"
"1001 - SF","Retain Magistrate Judge Michael McLennan","NO","365","93.56%"
"1001 - SF","Retain Magistrate Judge Kyle Schou","YES","953","93.56%"
"1001 - SF","Retain Magistrate Judge Kyle Schou","NO","376","93.56%"
"1001 - SF","Retain Magistrate Judge Diane M Walker","YES","927","93.56%"
"1001 - SF","Retain Magistrate Judge Diane M Walker","NO","421","93.56%"
"1001 - SF","Retain Magistrate Judge Abraham E. Wingrove","YES","977","93.56%"
"1001 - SF","Retain Magistrate Judge Abraham E. Wingrove","NO","364","93.56%"
"1001 - SF","College of Western Idaho Zone 1","Nicole A Bradshaw","987","93.56%"
"1001 - SF","College of Western Idaho Zone 3","Jim Reames","949","93.56%"
"1001 - SF","College of Western Idaho Zone 4","Gary L Smith","943","93.56%"
"1001 - SF","College of Western Idaho Zone 5","Cherie Buckner-Webb","934","93.56%"
"1001 - SF","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","1668","93.56%"
"1001 - SF","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","568","93.56%"
"1001 - SF","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","348","93.56%"
"1001 - SF","Proposition 1","NO, make no change to the current primary and general election voting system.","1913","93.56%"
"1001 - SF","Star Fire Protection District Levy (Combine Results with Canyon County)","IN FAVOR OF authorizing the levy increase in the amount of $2,225,000.","1040","93.56%"
"1001 - SF","Star Fire Protection District Levy (Combine Results with Canyon County)","AGAINST authorizing the levy increase in the amount of $2,225,000.","1100","93.56%"
"1002 - SF","United States President","Joel Skousen","0","95.13%"
"1002 - SF","United States President","Kamala D. Harris","300","95.13%"
"1002 - SF","United States President","Chase Oliver","6","95.13%"
"1002 - SF","United States President","Donald J. Trump","1869","95.13%"
"1002 - SF","United States President","Claudia De la Cruz","0","95.13%"
"1002 - SF","United States President","Shiva Ayyadurai","0","95.13%"
"1002 - SF","United States President","Randall Terry","1","95.13%"
"1002 - SF","United States President","Jill Stein","0","95.13%"
"1002 - SF","United States President","Robert F Kennedy Jr.","14","95.13%"
"1002 - SF","United States President","Brian Larry Kienitz","0","95.13%"
"1002 - SF","United States President","Peter Sonski","0","95.13%"
"1002 - SF","United States President","Unassigned write-ins","9","95.13%"
"1002 - SF","United States Representative District 1","Brendan J. Gomez","22","95.13%"
"1002 - SF","United States Representative District 1","Kaylee Peterson","261","95.13%"
"1002 - SF","United States Representative District 1","Matt Loesby","18","95.13%"
"1002 - SF","United States Representative District 1","Russ Fulcher","1822","95.13%"
"1002 - SF","United States Representative District 1","David D Bot","0","95.13%"
"1002 - SF","United States Representative District 1","Margot Dupre","0","95.13%"
"1002 - SF","United States Representative District 1","Unassigned write-ins","2","95.13%"
"1002 - SF","State Senator District 10","Letishia Silva","274","95.13%"
"1002 - SF","State Senator District 10","Tammy Nichols","1846","95.13%"
"1002 - SF","State Representative District 10 Seat A","Nancy Parker","258","95.13%"
"1002 - SF","State Representative District 10 Seat A","Mike Moyle","1861","95.13%"
"1002 - SF","State Representative District 10 Seat B","Shana Tremaine","258","95.13%"
"1002 - SF","State Representative District 10 Seat B","Bruce D. Skaug","1854","95.13%"
"1002 - SF","County Commissioner District 1","Jonathan Lashley","258","95.13%"
"1002 - SF","County Commissioner District 1","Ryan Davidson","1851","95.13%"
"1002 - SF","County Commissioner District 3","Devin Gutierrez","248","95.13%"
"1002 - SF","County Commissioner District 3","Tom Dayley","1838","95.13%"
"1002 - SF","County Sheriff","Doug Traubel","485","95.13%"
"1002 - SF","County Sheriff","Matthew Clifford","1571","95.13%"
"1002 - SF","County Prosecuting Attorney","Johnathan Baldauf","270","95.13%"
"1002 - SF","County Prosecuting Attorney","Jan Bennetts","1797","95.13%"
"1002 - SF","Retain Magistrate Judge Ransom Bailey","YES","1070","95.13%"
"1002 - SF","Retain Magistrate Judge Ransom Bailey","NO","384","95.13%"
"1002 - SF","Retain Magistrate Judge Susan Clark","YES","1041","95.13%"
"1002 - SF","Retain Magistrate Judge Susan Clark","NO","404","95.13%"
"1002 - SF","Retain Magistrate Judge Danica Comstock","YES","982","95.13%"
"1002 - SF","Retain Magistrate Judge Danica Comstock","NO","395","95.13%"
"1002 - SF","Retain Magistrate Judge Kira L. Dale","YES","967","95.13%"
"1002 - SF","Retain Magistrate Judge Kira L. Dale","NO","395","95.13%"
"1002 - SF","Retain Magistrate Judge Michael Dean","YES","1001","95.13%"
"1002 - SF","Retain Magistrate Judge Michael Dean","NO","359","95.13%"
"1002 - SF","Retain Magistrate Judge Andrew Ellis","YES","998","95.13%"
"1002 - SF","Retain Magistrate Judge Andrew Ellis","NO","351","95.13%"
"1002 - SF","Retain Magistrate Judge Laurie A. Fortier","YES","954","95.13%"
"1002 - SF","Retain Magistrate Judge Laurie A. Fortier","NO","392","95.13%"
"1002 - SF","Retain Magistrate Judge Theresa Gardunia","YES","935","95.13%"
"1002 - SF","Retain Magistrate Judge Theresa Gardunia","NO","406","95.13%"
"1002 - SF","Retain Magistrate Judge Cathleen MacGregor Irby","YES","960","95.13%"
"1002 - SF","Retain Magistrate Judge Cathleen MacGregor Irby","NO","384","95.13%"
"1002 - SF","Retain Magistrate Judge Regan C. Jameson","YES","969","95.13%"
"1002 - SF","Retain Magistrate Judge Regan C. Jameson","NO","359","95.13%"
"1002 - SF","Retain Magistrate Judge Joanne Kibodeaux","YES","937","95.13%"
"1002 - SF","Retain Magistrate Judge Joanne Kibodeaux","NO","396","95.13%"
