UNOFFICIAL ELECTION RESULTS
LATAH
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"Bovill 32","United States President","Joel Skousen","0","0.00%"
"Bovill 32","United States President","Kamala D. Harris","24","0.00%"
"Bovill 32","United States President","Chase Oliver","0","0.00%"
"Bovill 32","United States President","Donald J. Trump","109","0.00%"
"Bovill 32","United States President","Shiva Ayyadurai","1","0.00%"
"Bovill 32","United States President","Claudia De la Cruz","0","0.00%"
"Bovill 32","United States President","Robert F Kennedy Jr.","3","0.00%"
"Bovill 32","United States President","Jill Stein","0","0.00%"
"Bovill 32","United States President","Randall Terry","0","0.00%"
"Bovill 32","United States Representative District 1","Brendan J. Gomez","3","0.00%"
"Bovill 32","United States Representative District 1","Kaylee Peterson","21","0.00%"
"Bovill 32","United States Representative District 1","Matt Loesby","0","0.00%"
"Bovill 32","United States Representative District 1","Russ Fulcher","102","0.00%"
"Bovill 32","State Senator District 6","Julia Parker","34","0.00%"
"Bovill 32","State Senator District 6","Dan Foreman","96","0.00%"
"Bovill 32","State Representative District 6 Seat A","Trish Carter-Goodheart","21","0.00%"
"Bovill 32","State Representative District 6 Seat A","Lori McCann","110","0.00%"
"Bovill 32","State Representative District 6 Seat B","Kathy Dawes","30","0.00%"
"Bovill 32","State Representative District 6 Seat B","Brandon Mitchell","102","0.00%"
"Bovill 32","County Commissioner District 1","Mark Thorne","20","0.00%"
"Bovill 32","County Commissioner District 1","Tony Johnson","110","0.00%"
"Bovill 32","County Commissioner District 3","John Bohman","32","0.00%"
"Bovill 32","County Commissioner District 3","Jason Stooks","95","0.00%"
"Bovill 32","County Sheriff","Richie Skiles","103","0.00%"
"Bovill 32","County Sheriff","James Fry Jr.","21","0.00%"
"Bovill 32","County Sheriff","Christopher Middleton","9","0.00%"
"Bovill 32","County Prosecuting Attorney","W.W. Bill Thompson","81","0.00%"
"Bovill 32","Retain Magistrate Judge Megan Marshall","YES","80","0.00%"
"Bovill 32","Retain Magistrate Judge Megan Marshall","NO","23","0.00%"
