UNOFFICIAL ELECTION RESULTS
NEZ PERCE
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"ABSENTEE LEGISLATIVE 6","United States President","Joel Skousen","4","0.00%"
"ABSENTEE LEGISLATIVE 6","United States President","Kamala D. Harris","581","0.00%"
"ABSENTEE LEGISLATIVE 6","United States President","Chase Oliver","6","0.00%"
"ABSENTEE LEGISLATIVE 6","United States President","Donald J. Trump","1489","0.00%"
"ABSENTEE LEGISLATIVE 6","United States President","Shiva Ayyadurai","1","0.00%"
"ABSENTEE LEGISLATIVE 6","United States President","Claudia De la Cruz","1","0.00%"
"ABSENTEE LEGISLATIVE 6","United States President","Robert F Kennedy Jr.","18","0.00%"
"ABSENTEE LEGISLATIVE 6","United States President","Jill Stein","5","0.00%"
"ABSENTEE LEGISLATIVE 6","United States President","Randall Terry","5","0.00%"
"ABSENTEE LEGISLATIVE 6","United States Representative District 1","Brendan J. Gomez","25","0.00%"
"ABSENTEE LEGISLATIVE 6","United States Representative District 1","Kaylee Peterson","578","0.00%"
"ABSENTEE LEGISLATIVE 6","United States Representative District 1","Matt Loesby","18","0.00%"
"ABSENTEE LEGISLATIVE 6","United States Representative District 1","Russ Fulcher","1469","0.00%"
"ABSENTEE LEGISLATIVE 6","State Senator District 6","Julia Parker","692","0.00%"
"ABSENTEE LEGISLATIVE 6","State Senator District 6","Dan Foreman","1401","0.00%"
"ABSENTEE LEGISLATIVE 6","State Representative District 6 Seat A","Trish Carter-Goodheart","442","0.00%"
"ABSENTEE LEGISLATIVE 6","State Representative District 6 Seat A","Lori McCann","1596","0.00%"
"ABSENTEE LEGISLATIVE 6","State Representative District 6 Seat B","Kathy Dawes","592","0.00%"
"ABSENTEE LEGISLATIVE 6","State Representative District 6 Seat B","Brandon Mitchell","1498","0.00%"
"ABSENTEE LEGISLATIVE 6","County Commissioner District 1","Hannah Liedkie","1790","0.00%"
"ABSENTEE LEGISLATIVE 6","County Commissioner District 3","Pete Gertonson","575","0.00%"
"ABSENTEE LEGISLATIVE 6","County Commissioner District 3","Joe Gish","1501","0.00%"
"ABSENTEE LEGISLATIVE 6","County Sheriff","Bryce Scrimsher","1874","0.00%"
"ABSENTEE LEGISLATIVE 6","County Prosecuting Attorney","Justin J. Coleman","1726","0.00%"
"ABSENTEE LEGISLATIVE 6","Retain Magistrate Judge Victoria Olds","YES","1582","0.00%"
"ABSENTEE LEGISLATIVE 6","Retain Magistrate Judge Victoria Olds","NO","202","0.00%"
"ABSENTEE LEGISLATIVE 6","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","1403","0.00%"
"ABSENTEE LEGISLATIVE 6","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","684","0.00%"
"ABSENTEE LEGISLATIVE 6","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","593","0.00%"
"ABSENTEE LEGISLATIVE 6","Proposition 1","NO, make no change to the current primary and general election voting system.","1502","0.00%"
"ABSENTEE LEGISLATIVE 6","City of Culdesac Revenue Bond","IN FAVOR OF","14","0.00%"
"ABSENTEE LEGISLATIVE 6","City of Culdesac Revenue Bond","AGAINST","13","0.00%"
"ABSENTEE LEGISLATIVE 6","Kendrick Joint School District 283 Levy (Combine Results with Latah and Clearwater Counties)","IN FAVOR OF","25","0.00%"
"ABSENTEE LEGISLATIVE 6","Kendrick Joint School District 283 Levy (Combine Results with Latah and Clearwater Counties)","AGAINST","32","0.00%"
"ABSENTEE LEGISLATIVE 7","United States President","Joel Skousen","6","0.00%"
"ABSENTEE LEGISLATIVE 7","United States President","Kamala D. Harris","2148","0.00%"
"ABSENTEE LEGISLATIVE 7","United States President","Chase Oliver","18","0.00%"
"ABSENTEE LEGISLATIVE 7","United States President","Donald J. Trump","3566","0.00%"
"ABSENTEE LEGISLATIVE 7","United States President","Shiva Ayyadurai","0","0.00%"
"ABSENTEE LEGISLATIVE 7","United States President","Claudia De la Cruz","5","0.00%"
"ABSENTEE LEGISLATIVE 7","United States President","Robert F Kennedy Jr.","60","0.00%"
"ABSENTEE LEGISLATIVE 7","United States President","Jill Stein","9","0.00%"
"ABSENTEE LEGISLATIVE 7","United States President","Randall Terry","6","0.00%"
"ABSENTEE LEGISLATIVE 7","United States Representative District 1","Brendan J. Gomez","50","0.00%"
"ABSENTEE LEGISLATIVE 7","United States Representative District 1","Kaylee Peterson","2104","0.00%"
"ABSENTEE LEGISLATIVE 7","United States Representative District 1","Matt Loesby","77","0.00%"
"ABSENTEE LEGISLATIVE 7","United States Representative District 1","Russ Fulcher","3515","0.00%"
