"","Username","Print Job Description","Date","Pages","Cost","Bal."
"","finn9028","Deposit: automatic term increase: 201920","12/20/19 1:04 PM","0","12.50","66.60"
"","finn9028","Microsoft Word - Reflection Paper.docx","5/2/19 6:03 PM","3","-0.15","54.10"
"","finn9028","Microsoft Word - Reflection Paper.docx","5/2/19 4:23 PM","3","-0.15","54.25"
"","finn9028","Microsoft Word - PROP Documents.docx","4/26/19 7:02 PM","1","-0.05","54.40"
"","finn9028","419-Starbuck","4/8/19 2:29 PM","5","-0.25","54.45"
"","finn9028","Microsoft Word - Cyan-2.docx","4/7/19 6:34 PM","4","-0.20","54.70"
"","finn9028","Microsoft Word - Cyan-2.docx","4/7/19 6:34 PM","1","-0.05","54.90"
"","finn9028","Microsoft Word - PROP Documents.docx","4/6/19 7:09 PM","1","-0.05","54.95"
"","finn9028","Magenta-5","4/6/19 7:09 PM","5","-0.25","55.00"
"","finn9028","Magenta-11b","4/6/19 7:08 PM","1","-0.05","55.25"
"","finn9028","Cyan-1","4/6/19 7:08 PM","1","-0.05","55.30"
"","finn9028","Cyan-1","4/6/19 7:07 PM","1","-0.05","55.35"
"","finn9028","Microsoft Word - PROP Documents.docx","4/6/19 7:07 PM","1","-0.05","55.40"
"","finn9028","Microsoft Word - Intouchables.docx","4/5/19 2:27 PM","2","-0.10","55.45"
"","finn9028","Microsoft Word - SCRIPT BREAKDOWN.docx","4/5/19 1:26 PM","2","-0.10","55.55"
"","finn9028","THE-COMPANY-posters.pdf","3/31/19 7:30 PM","7","-7.00","55.65"
"","finn9028","Microsoft Word - Travail ?crit Boudu","3/29/19 5:53 PM","1","-0.05","62.65"
"","finn9028","Microsoft Word - Travail ?crit Boudu.docx","3/29/19 3:29 PM","1","-0.05","62.70"
"","finn9028","Microsoft Word - boudu fiche","3/27/19 2:17 PM","1","-0.05","62.75"
"","finn9028","2017_TaxReturn.pdf.pdf","3/23/19 10:15 PM","2","-0.10","62.80"
"","finn9028","1040x.pdf","3/14/19 8:38 PM","2","-0.10","62.90"
"","finn9028","Personal Day (1).pdf","3/8/19 3:26 PM","24","-1.20","63.00"
"","finn9028","Microsoft Word - Bienvenue chez les ch'tis fiche","3/6/19 2:37 PM","1","-0.05","64.20"
"","finn9028","Microsoft Word - L'auberge espagnole fiche","2/27/19 2:48 PM","1","-0.05","64.25"
