Budget,Program,Bill,Status,Description
<b><i>Maintenance</i></b>,<i>Constitutional Officers</i>,☐,—,"<b>2/13: 5% FY 27 base reduction
<br></b>Governor's 3% + JFAC's 2%
<br><i></i>Secretary of State excluded"
<b><i>Maintenance</i></b>,<i>Economic Development</i>,☐,—,"<b>2/13: 5% FY 27 base reduction
<br></b>Governor's 3% + JFAC's 2%"
<b><i>Maintenance</i></b>,<i>General Government</i>,☐,—,"<b>2/13: 5% FY 27 base reduction
<br></b>Governor's 3% + JFAC's 2%"
<b><i>Maintenance</i></b>,<i>Health & Human Services</i>,☐,—,"<b>2/13: 5% FY 27 base reduction
<br></b>Governor's 3% + JFAC's 2%
<br><i></i>Medicaid program excluded"
<b><i>Maintenance</i></b>,<i>Judicial Branch</i>,☐,—,"<b>2/13: 5% FY 27 base reduction
<br></b>Governor's 3% + JFAC's 2%"
<b><i>Maintenance</i></b>,<i>Legislative Branch</i>,☐,—,"<b>2/13: 5% FY 27 base reduction
<br></b>Governor's 3% + JFAC's 2%"
<b><i>Maintenance</i></b>,<i>Natural Resources</i>,☐,—,"<b>2/13: 5% FY 27 base reduction
<br></b>Governor's 3% + JFAC's 2%"
<b><i>Maintenance</i></b>,<i>Public Safety</i>,☐,—,"<b>2/13: 5% FY 27 base reduction
<br></b>Governor's 3% + JFAC's 2%
<br><i>Idaho State Police and
<br></i>Dept. of Correction excluded"
<b><i>Maintenance</i></b>,<i>Public Schools</i>,☐,—,"<b><i>2/13: public schools excluded
<br></i></b>from holdbacks and reductions"
<b><i>Maintenance</i></b>,<i>State Board of Education</i>,☐,—,"<b>2/13: 5% FY 27 base reduction
<br></b>Governor's 3% + JFAC's 2%"
<b>Reduction</b>,<i>Constitutional Officers</i><br><b>Attorney General</b>,☐,—,"<b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i></b>FY 26 Additional 1% plan detail:
<br>Additional cuts of this magnitude
<br>will require furloughs or workforce
<br>reductions. That means less capacity
<br>to handle the active litigation defending
<br>state laws, fewer attorneys available
<br>to recover funds for taxpayers, and
<br>reduced staffing for critical programs
<br>like ICAC. Budget reductions will
<br>potentially result in lost work days,
<br>greatly disadvantaging the Office,
<br>and consequently negatively
<br>impacting Idaho citizens. An
<br>additional 1% reduction,
<br>equivalent to an overall 4%
<br>decrease, of $1, 306, 600
<br>would mean 11 furlough
<br></i>days impacting our 227 FTP."
<b>Reduction</b>,<i>Constitutional Officers</i><br><b>Governor</b>,☐,—,"<b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br>1% - $35K Revert Partial Constituent
<br>Services Agreement (keep
<br>a contingency amount for
<br>any potential cost overruns
<br>on the project) The Governor’s
<br>office has already reduced
<br>their personnel costs in the
<br>current budget recommendation.
<br>An additional 1% or 2% decrease
<br>would require the Governor’s office
<br></i>to lay off an existing staff member."
<b>Reduction</b>,<i>Constitutional Officers</i><br><b>Lieutenant Governor</b>,☐,—,"<b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i></b>FY 26 Additional 1% plan detail:
<br></i>The imposition of the additional 1% and 2% holdbacks
would have a significant impact on this agency due to
its extremely small size and limited operating budget.
As a result, there are no excess funds or non-essential
expenditures that could absorb these reductions. The
only viable source to meet the holdback requirement
would be personnel funding, any reduction in personnel
funding would necessitate furloughs. The agency does
not have the staffing redundancy necessary to
redistribute duties without compromising performance or legal compliance."
<b>Reduction</b>,<i>Constitutional Officers</i><br><b>Secretary of State</b>,☐,—,"<b></b><i>2/6: In my first budget as
<br>Secretary of State, the
<br>Legislature appropriated
<br>$10 million in one-time
<br>funding to modernize
<br>Idaho’s election technology.
<br>Through a careful review
<br>of how these systems
<br>are hosted and managed,
<br>we identified an
<br>opportunity to reduce
<br>long-term costs by
<br>transitioning hosting
<br>responsibilities to vendors.
<br>As a result, we have
<br>identified a total of
<br><b>$850, 000 in one-time,
<br></b>FY26 funds we can revert
<br>back from the original
<br>appropriation while fully
<br>funding these systems
<br>for the originally proposed
<br>five years. This represents
<br>approximately 15 percent
<br>of the Secretary of State’s
<br>base budget and exceeds
<br>the combined FY26 and
<br>FY27 dollar value of the
<br>requested reductions,
<br>allowing us to contribute
<br>meaningfully to addressing
<br>the budget shortfall without
<br></i>creating operational risk."
<b>Reduction</b>,<i>Constitutional Officers</i><br><b>State Controller</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>Local Government Reporting & Transparency initiatives;
State Annual Comprehensive Financial Report data
compilation and reporting application; Statewide budget
development application support; Luma agency support services contract"
<b>Reduction</b>,<i>Constitutional Officers</i><br><b>State Treasurer</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Constitutional Officers</i><br>State Treasurer<br><b>Millennium Fund</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Economic Development</i><br><b>Dept. of Agriculture</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br>The Plants Division accounts for over 50% of the
General Funds by ISDA, with the bulk of that funding
going towards invasive species and noxious weed
prevention, treatment, and Cooperative Weed Management
Area (CWMA) projects. The Invasive Species and Noxious
Weeds programs accounted for $7. 2 million of the $8. 2
million of General Funds for Plants. The reduction in
noxious weed funding is unavoidable given the
significant percentage of the budget. This Noxious Weed
funding is distributed as passthrough funding for
projects implemented by CWMAs.
<br></i>The Invasive Species Program receives nearly one-third
of the agency's total General Fund appropriation. While
the agency avoided cuts to this program in the previous
FY26 recission, the agency is now reviewing and
prioritizing operations and watercraft inspection
locations. This proposal reflects a cut to watercraft
inspection station operations. We would propose
delaying opening at three stations to decrease FY26
costs - Samuels, Kooskia and Dubois. Two stations -
Kooskia and Dubois - are operated directly by ISDA;
while Samuels is operated by a cooperator."
<b>Reduction</b>,<i>Economic Development</i><br><b>Dept. of Commerce</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>Department plans to reduce funding for community
infrastructure grants administered. These programs have
been especially effective in supporting rural
communities by funding critical infrastructure projects
that enable economic development. Reductions in these
programs will have a direct and disproportionate impact
on rural Idaho, where communities often rely on this
funding to attract private investment, create jobs, and
expand local tax bases."
<b>Reduction</b>,<i>Economic Development</i><br><b>Dept. of Finance</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
