UNOFFICIAL ELECTION RESULTS
County Name,Contest Name,Number Of Precincts,Precincts Reported
"ADA","United States President","154","120"
"ADA","United States Senator","154","120"
"ADA","United States Representative District 1","75","64"
"ADA","United States Representative District 2","79","56"
"ADA","Legislative District 14 Senator","21","21"
"ADA","Legislative District 14 Representative Seat A","21","21"
"ADA","Legislative District 14 Representative Seat B","21","21"
"ADA","Legislative District 15 Senator","16","12"
"ADA","Legislative District 15 Representative Seat A","16","12"
"ADA","Legislative District 15 Representative Seat B","16","12"
"ADA","Legislative District 16 Senator","15","15"
"ADA","Legislative District 16 Representative Seat A","15","15"
"ADA","Legislative District 16 Representative Seat B","15","15"
"ADA","Legislative District 17 Senator","15","9"
"ADA","Legislative District 17 Representative Seat A","15","9"
"ADA","Legislative District 17 Representative Seat B","15","9"
"ADA","Legislative District 18 Senator","18","12"
"ADA","Legislative District 18 Representative Seat A ","18","12"
"ADA","Legislative District 18 Representative Seat B","18","12"
"ADA","Legislative District 19 Senator","23","15"
"ADA","Legislative District 19 Representative Seat A","23","15"
"ADA","Legislative District 19 Representative Seat B","23","15"
"ADA","Legislative District 20 Senator","15","11"
"ADA","Legislative District 20 Representative Seat A","15","11"
"ADA","Legislative District 20 Representative Seat B","15","11"
"ADA","Legislative District 21 Senator","17","14"
"ADA","Legislative District 21 Representative Seat A","17","14"
"ADA","Legislative District 21 Representative Seat B","17","14"
"ADA","Legislative District 22 Senator","14","11"
"ADA","Legislative District 22 Representative Seat A","14","11"
"ADA","Legislative District 22 Representative Seat B","14","11"
"ADA","HJR 4 Constitution Amendment ","154","120"
"ADAMS","United States President","0","0"
"ADAMS","United States Senator","0","0"
"ADAMS","United States Representative District 1","0","0"
"ADAMS","Legislative District 9 Senator","0","0"
"ADAMS","Legislative District 9 Representative Seat A","0","0"
"ADAMS","Legislative District 9 Representative Seat B","0","0"
"ADAMS","HJR 4 Constitution Amendment ","0","0"
"BANNOCK","United States President","54","54"
"BANNOCK","United States Senator","54","54"
"BANNOCK","United States Representative District 2","54","54"
"BANNOCK","Legislative District 28 Senator","28","28"
"BANNOCK","Legislative District 28 Representative Seat A","28","28"
"BANNOCK","Legislative District 28 Representative Seat B","28","28"
"BANNOCK","Legislative District 29 Senator","26","26"
"BANNOCK","Legislative District 29 Representative Seat A","26","26"
"BANNOCK","Legislative District 29 Representative Seat B","26","26"
"BANNOCK","HJR 4 Constitution Amendment ","54","54"
"BEAR LAKE","United States President","0","0"
"BEAR LAKE","United States Senator","0","0"
"BEAR LAKE","United States Representative District 2","0","0"
"BEAR LAKE","Legislative District 32 Senator","0","0"
