Year,Federal,State
1946,1072.8,193.901
1947,1145.3,238.273
1948,1208.2,332.656
1949,1232.7,381.04
1950,1242.8,413.691
1951,1294,444.409
1952,1474.1,460.311
1953,1586.8,477.211
1954,1513.7,469.65
1955,1504.2,470.225
1956,1549,532.31
1957,1610.9,581.107
1958,1668.2,626.819
1959,1771.1,706.562
1960,1863.6,929.936
1961,1923.5,995.144
1962,1956.5,1085.646
1963,2010.5,1132.804
1964,1976.7,1212.32
1965,2069.7,1327.081
1966,2006.5,1566.627
1967,2023.1,1643.039
1968,2066.2,1915.776
1969,2082.1,2101.828
1970,2036.1,2368.077
1971,2149.5,2594.586
1972,2151.2,2904.379
1973,2221,3092.844
1974,2383,3225.175
1975,2261.1,3284.66
1976,2434.8,3428.902
1977,2279.2,3483.349
1978,2374.1,3632.746
1979,2356.1,3621.625
1980,2604.4,3714.417
1981,2488.2,3850.631
1982,2496.1,3922.18
1983,3424.4,4117.825
1984,4749.2,4232.982
1985,4442.5,4314.268
1986,4430.8,4422.062
1987,4752.3,4545.529
1988,4466.5,4768.674
1989,4237.8,4995.848
1990,4069.8,5440.092
1991,4754.6,5769.306
1992,5043,5924.192
1993,5528,6045.02
1994,5599.5,6506.277
1995,5716.8,7051.621
1996,5679.1,7122.19
1997,5743.3,7138.71
1998,5559.2,7403.234
1999,5193.1,7757.049
2000,6230.2,8122.48
2001,7056.7,8222.816
2002,8036.9,8433.144
2003,7798.5,10664.805
2004,7702.6,11627.511
2005,7566.6,12246.486
2006,7480,13753.158
2007,7267.7,14285.2
2008,6890.1,15621.718
2009,8512.3,15753.355
2010,15513.9,16532.671
2011,15101.1,17107.803
2012,14487,16797.713
2013,14167,16527.479
2014,13445.3,16334.249
2015,13450.3,16177.495
2016,13301.3,16594.248
2017,12762.8,16931.692
2018,12126,17173.979
2019,11586,16725.908
2020,11276.5,16466.2
2021,11202.4,16537.026
2022,10373.6,15664.071
2023,9379.4,14347.466
2024,8545.9,12931.705
