Document ID,Document Name,Line Item,View Link
9395881e3bceae07_503fe5ae979b12b1,hispanic-affairs_idaho-commission-on.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=9395881e3bceae07_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
959f2d9e28a72022_503fe5ae979b12b1,wolf-depredation-control-board.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=959f2d9e28a72022_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
3b396c5e317d152_503fe5ae979b12b1,state-independent-living-council.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=3b396c5e317d152_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
6e7f36debd017097_503fe5ae979b12b1,judicial-branch.pdf,Judicial Compensation; Guardian Ad Litem,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=6e7f36debd017097_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
c4147b57a03db2e_503fe5ae979b12b1_1,health-and-welfare-department-of (pages 303 to 647).pdf,"12.16 HIV Prevention and Surveillance Program; 12.17 Hepatitis Prevention and Surveillance Program; 12.18 Supplemental Nutrition Assistance Program Federal Rate Adjustment; 12.19 Medicaid Expansion Work Requirements HB 345; 12.20 Medicaid Eligibility Determination System Changes HB345; 12.61 Population Forecast Adjustment - Court Ordered Evaluations; 12.62 Population Forecast Adjustment - Medicaid Caseload Maintenance; 12.63 Population Forecast Adjustment 
– Medicaid Cost Based Maintenance; 12.64 Population Forecast Adjustment – Mandatory Pricing Maintenance; 12.65 Population Forecast Adjustment - Utilization Maintenance; 12.71 Information Technology Services Modernization Phase 6",https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=c4147b57a03db2e_503fe5ae979b12b1_1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
eafc0d3fcbaf76a8_503fe5ae979b12b1,public-television_idaho.pdf,General Inflation Adjustments,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=eafc0d3fcbaf76a8_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
1ce89cb1c936dab6_503fe5ae979b12b1,veterans-services_division-of.pdf,"New Capital Outlay Equipment; Repair, Replacement, or Alteration Costs; Vehicle Replacement Items Only; ITS Recommended Replacement Items Only; Budget Law Exemptions/Other Adjustments",https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=1ce89cb1c936dab6_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
e4a79896301750ba_503fe5ae979b12b1,administrative-hearings_office-of.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=e4a79896301750ba_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
acb21f80942e76d2_503fe5ae979b12b1,state-board-of-education-office-of.pdf,"OSBE Canvas LMS; Risk Management move to Institutions; Repair, Replacement, or Alteration Costs",https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=acb21f80942e76d2_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
632b8297349390ec_503fe5ae979b12b1,career-technical-education.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=632b8297349390ec_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
