Account address,Show boosts,Notify on new posts,Languages
zebpalmer@serenity.social,true,false,
audreydutton@mastodon.world,true,false,
zgersh1@journa.host,true,false,
chashundley@newsie.social,true,false,
PaigeBlank@journa.host,true,false,
laralaradisney@syringa.social,true,false,
wa7iut@mastodon.radio,true,false,
Baldwin@c.im,true,false,
britter@mastodon.social,true,false,
ccm@techhub.social,true,false,
IdahoColeLeFavour@universeodon.com,true,false,
AngryNIdaho@thelife.boats,true,false,
annehelen@sfba.social,true,false,
bryanclark@journa.host,true,false,
RebeccaBoone@journa.host,true,false,
IdahoJournalists@serenity.social,true,false,
KevinRichert@newsie.social,true,false,
kelciemmorris@journa.host,true,false,
SamSandmire@mas.to,true,false,
alexbrizee@journa.host,true,false,
adamdavidson@journa.host,true,false,
Davlin@journa.host,true,false,
