title,creator,date,date is approximate,description,location,county,region,features,flight_line,aerial-type,source,identifier,digitization specifications,rights,format,type,latitude,longitude,digital_collection,cd rom call number,publisher digital,language,date digital,date loaded,contributors,date created,date modified,objectid,object_thumb,object_location,reference_url
"A1362","166th Photo Section of the Washington National Guard","1933","","Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County (Idaho); Pot Mountain","Clearwater County (Idaho)","Pot Mountain","","","oblique-photo","Partial sets of prints are located at the Clearwater National Forest Supervisor&#39;s office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and  two copies are being retained by the University of Idaho Library. One will be kept in  Special Collections.","A 1362-33","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","","","Idaho Aerial Photograph Collection","CD-ROM F746.P76 1997","University of Idaho Library","eng","1997","2008-12-01","Dennis Baird","2008-12-01","2014-10-28","aerial41","https://objects.lib.uidaho.edu/aerial/thumbs/aerial41_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial41.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial41.html"
"A1365","166th Photo Section of the Washington National Guard","1933","","Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County (Idaho); Pot Mountain","Clearwater County (Idaho)","Pot Mountain","","","oblique-photo","Partial sets of prints are located at the Clearwater National Forest Supervisor&#39;s office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and  two copies are being retained by the University of Idaho Library. One will be kept in  Special Collections.","A 1365-33","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","","","Idaho Aerial Photograph Collection","CD-ROM F746.P76 1997","University of Idaho Library","eng","1997","2008-12-01","Dennis Baird","2008-12-01","2014-10-28","aerial42","https://objects.lib.uidaho.edu/aerial/thumbs/aerial42_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial42.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial42.html"
"A1373","166th Photo Section of the Washington National Guard","1933","","Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County (Idaho); Clarke Mountain; Lean-to Point; Larch Butte; Pot Mountain","Clearwater County (Idaho)","Clarke Mountain;  Lean-to Point;  Larch Butte;  Pot Mountain;","","","oblique-photo","Partial sets of prints are located at the Clearwater National Forest Supervisor&#39;s office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and  two copies are being retained by the University of Idaho Library. One will be kept in  Special Collections.","A 1373-33","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","","","Idaho Aerial Photograph Collection","CD-ROM F746.P76 1997","University of Idaho Library","eng","1997","2008-12-01","Dennis Baird","2008-12-01","2014-10-28","aerial43","https://objects.lib.uidaho.edu/aerial/thumbs/aerial43_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial43.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial43.html"
"A1374","166th Photo Section of the Washington National Guard","1933","","Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County (Idaho); Lean-to Point","Clearwater County (Idaho)","Lean-to Point","","","oblique-photo","Partial sets of prints are located at the Clearwater National Forest Supervisor&#39;s office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and  two copies are being retained by the University of Idaho Library. One will be kept in  Special Collections.","A 1374-33","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","","","Idaho Aerial Photograph Collection","CD-ROM F746.P76 1997","University of Idaho Library","eng","1997","2008-12-01","Dennis Baird","2008-12-01","2014-10-28","aerial44","https://objects.lib.uidaho.edu/aerial/thumbs/aerial44_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial44.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial44.html"
"A1363","166th Photo Section of the Washington National Guard","1933","","Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County (Idaho); Pot Mountain","Clearwater County (Idaho)","Pot Mountain","","","oblique-photo","Partial sets of prints are located at the Clearwater National Forest Supervisor&#39;s office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and  two copies are being retained by the University of Idaho Library. One will be kept in  Special Collections.","A 1363-33","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","","","Idaho Aerial Photograph Collection","CD-ROM F746.P76 1997","University of Idaho Library","eng","1997","2008-12-01","Dennis Baird","2008-12-01","2014-10-28","aerial45","https://objects.lib.uidaho.edu/aerial/thumbs/aerial45_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial45.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial45.html"
"A1371","166th Photo Section of the Washington National Guard","1933","","Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County (Idaho); Clarke Mountain","Clearwater County (Idaho)","Clarke Mountain","","","oblique-photo","Partial sets of prints are located at the Clearwater National Forest Supervisor&#39;s office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and  two copies are being retained by the University of Idaho Library. One will be kept in  Special Collections.","A 1371-33","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","","","Idaho Aerial Photograph Collection","CD-ROM F746.P76 1997","University of Idaho Library","eng","1997","2008-12-01","Dennis Baird","2008-12-01","2014-10-28","aerial46","https://objects.lib.uidaho.edu/aerial/thumbs/aerial46_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial46.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial46.html"
"A1372","166th Photo Section of the Washington National Guard","1933","","Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County (Idaho); Clarke Mountain","Clearwater County (Idaho)","Clarke Mountain","","","oblique-photo","Partial sets of prints are located at the Clearwater National Forest Supervisor&#39;s office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and  two copies are being retained by the University of Idaho Library. One will be kept in  Special Collections.","A 1372-33","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","","","Idaho Aerial Photograph Collection","CD-ROM F746.P76 1997","University of Idaho Library","eng","1997","2008-12-01","Dennis Baird","2008-12-01","2014-10-28","aerial47","https://objects.lib.uidaho.edu/aerial/thumbs/aerial47_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial47.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial47.html"
"A1376","166th Photo Section of the Washington National Guard","1933","","Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County (Idaho); Pot Mountain; Junction Mountain; Elizabeth Lake","Clearwater County (Idaho)","Pot Mountain; Junction Mountain; Elizabeth Lake","","","oblique-photo","Partial sets of prints are located at the Clearwater National Forest Supervisor&#39;s office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and  two copies are being retained by the University of Idaho Library. One will be kept in  Special Collections.","A 1376-33","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","","","Idaho Aerial Photograph Collection","CD-ROM F746.P76 1997","University of Idaho Library","eng","1997","2008-12-01","Dennis Baird","2009-01-07","2014-10-28","aerial48","https://objects.lib.uidaho.edu/aerial/thumbs/aerial48_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial48.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial48.html"
"A1377","166th Photo Section of the Washington National Guard","1933","","Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County (Idaho); Pot Mountain; Junction Mountain; Elizabeth Lake","Clearwater County (Idaho)","Pot Mountain; Junction Mountain; Elizabeth Lake","","","oblique-photo","Partial sets of prints are located at the Clearwater National Forest Supervisor&#39;s office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and  two copies are being retained by the University of Idaho Library. One will be kept in  Special Collections.","A 1377-33","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","","","Idaho Aerial Photograph Collection","CD-ROM F746.P76 1997","University of Idaho Library","eng","1997","2008-12-01","Dennis Baird","2009-01-07","2014-10-28","aerial49","https://objects.lib.uidaho.edu/aerial/thumbs/aerial49_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial49.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial49.html"
"A1378","166th Photo Section of the Washington National Guard","1933","","Black and white 1933 oblique air photo taken from aircraft, by the 166th Photo Section of the Washington National Guard, operating out of Felts Field in Spokane.","Clearwater County (Idaho)","Clearwater County (Idaho)","","","","oblique-photo","Partial sets of prints are located at the Clearwater National Forest Supervisor&#39;s office in Orofino and at the Moose Creek Ranger District office at Fenn. A copy of the CD-ROM has been sent to Fenn, to Orofino, and  two copies are being retained by the University of Idaho Library. One will be kept in  Special Collections.","A 1378-33","Images are scanned at 300 dpi using an HP 4c scanner and are saved on the CD-ROM as compressed TIFF files.","Materials from the University of Idaho Library&#39;s Digital Collections are made available online for research purposes. Permission for reproduction, distribution, public display, performance, or publication must be obtained in writing from the Head of Special Collections &amp; Archives. The University of Idaho Library makes no representation that it is the copyright owner in all of its holdings. It is the responsibility of the user to obtain all necessary rights and clearances for use of materials. For questions, contact the Head of Special Collections &amp; Archives.","image/jpeg","Image;StillImage","","","Idaho Aerial Photograph Collection","CD-ROM F746.P76 1997","University of Idaho Library","eng","1997","2008-12-01","Dennis Baird","2009-01-07","2014-10-28","aerial50","https://objects.lib.uidaho.edu/aerial/thumbs/aerial50_th.jpg","https://objects.lib.uidaho.edu/aerial/aerial50.jpg","https://www.lib.uidaho.edu/digital/aerial/items/aerial50.html"
