"docketentry_id","docketentry_entry_number","docketentry_date_filed","docketentry_time_filed","docketentry_pacer_sequence_number","docketentry_recap_sequence_number","docketentry_description","recapdocument_id","recapdocument_document_type","recapdocument_description","recapdocument_acms_document_guid","recapdocument_date_upload","recapdocument_document_number","recapdocument_attachment_number","recapdocument_pacer_doc_id","recapdocument_is_free_on_pacer","recapdocument_is_available","recapdocument_is_sealed","recapdocument_sha1","recapdocument_page_count","recapdocument_file_size","recapdocument_filepath_local","recapdocument_filepath_ia","recapdocument_ocr_status"
"415519748","1","2025-02-04","","34","2025-02-04.001","COMPLAINT FOR INJUNCTIVE AND DECLARATORY RELIEF against All Defendants ( Filing fee $ 405 receipt number AIDDC-2877560.), filed by All Plaintiffs.(Ferguson, Deborah)","429223033","PACER Document","Complaint","","2025-02-04 22:25:10.190324+00:00","1","","06303011634","","True","","7635970112f14ddeb0689d45944034c5f6b0ea11","40","278983","https://storage.courtlistener.com/recap/gov.uscourts.idd.56244/gov.uscourts.idd.56244.1.0_1.pdf","https://archive.org/download/gov.uscourts.idd.56244/gov.uscourts.idd.56244.1.0.pdf","OCR Not Necessary"
"415519749","2","2025-02-04","","37","2025-02-04.002","Civil Cover Sheet re 1 Complaint filed by The Authors Guild, Olivia Lanzara, Melisa Cull, Hachette Book Group, Inc., HarperCollinss Publishers LLC, Dashka Slater, David Levithan, Simon & Schuster, LLC, Malinda Lo, MacMillan Publishing Group, LLC, Sourcebooks, LLC, Christie Nichols, Penguin Random House LLC, The Donnelly Public Library District, J.E., Barbara Ersland. (jd)","429223034","PACER Document","Civil Cover Sheet","","","2","","06303011652","","","","","","","","",""
"415519750","3","2025-02-04","","45","2025-02-04.003","Corporate Disclosure Statement by The Authors Guild. (Ferguson, Deborah)","429223035","PACER Document","Corporate Disclosure Statement","","","3","","06303011690","","","","","","","","",""
"415519751","4","2025-02-04","","47","2025-02-04.004","Corporate Disclosure Statement by Hachette Book Group, Inc.. (Ferguson, Deborah)","429223036","PACER Document","Corporate Disclosure Statement","","","4","","06303011696","","","","","","","","",""
"415519752","5","2025-02-04","","49","2025-02-04.005","Summons Issued as to Jan Bennetts, Justin Coleman, Raul Labrador, Brian Naugle, The Eagle Public Library Board of Trustees. (Print attached Summons for service.) (Attachments: # 1 Summons for Naugle, # 2 Summons for Coleman, # 3 Summons for Eagle Library, # 4 Summons for Labrador)(jd)","429223037","PACER Document","Summons Issued","","","5","","06303011699","","","","","","","","",""
"415530420","6","2025-02-04","","51","2025-02-04.006","Corporate Disclosure Statement by Penguin Random House LLC. (Ferguson, Deborah)","429233912","PACER Document","Corporate Disclosure Statement","","","6","","06303011717","","","","","","","","",""
"415530421","7","2025-02-04","","53","2025-02-04.007","Corporate Disclosure Statement by HarperCollinss Publishers LLC. (Ferguson, Deborah)","429233913","PACER Document","Corporate Disclosure Statement","","","7","","06303011723","","","","","","","","",""
"415530422","8","2025-02-04","","55","2025-02-04.008","Corporate Disclosure Statement by MacMillan Publishing Group, LLC. (Ferguson, Deborah)","429233914","PACER Document","Corporate Disclosure Statement","","","8","","06303011726","","","","","","","","",""
"415530423","9","2025-02-04","","57","2025-02-04.009","Corporate Disclosure Statement by Simon & Schuster, LLC. (Ferguson, Deborah)","429233915","PACER Document","Corporate Disclosure Statement","","","9","","06303011729","","","","","","","","",""
"415530424","10","2025-02-04","","59","2025-02-04.010","Corporate Disclosure Statement by Sourcebooks, LLC. (Ferguson, Deborah)","429233916","PACER Document","Corporate Disclosure Statement","","","10","","06303011735","","","","","","","","",""
"415530425","11","2025-02-04","11:24:33","61","2025-02-04.011","MOTION FOR PRO HAC VICE APPEARANCE by Michael J. Grygiel. ( Filing fee $ 250 receipt number AIDDC-2877733.)Deborah A Ferguson appearing for Plaintiffs Melisa Cull, Barbara Ersland, Hachette Book Group, Inc., HarperCollinss Publishers LLC, J.E., Olivia Lanzara, David Levithan, Malinda Lo, MacMillan Publishing Group, LLC, Christie Nichols, Penguin Random House LLC, Simon & Schuster, LLC, Dashka Slater, Sourcebooks, LLC, The Authors Guild, The Donnelly Public Library District. Responses due by 2/25/2025 (Ferguson, Deborah)","429233917","PACER Document","Motion for Pro Hac Vice Appearance","","","11","","06303011746","","","","","","","","",""
"415530426","12","2025-02-04","11:28:18","63","2025-02-04.012","MOTION FOR PRO HAC VICE APPEARANCE by Daniela del Rosario Wertheimer. ( Filing fee $ 250 receipt number AIDDC-2877739.)Deborah A Ferguson appearing for Plaintiffs Melisa Cull, Barbara Ersland, Hachette Book Group, Inc., HarperCollinss Publishers LLC, J.E., Olivia Lanzara, David Levithan, Malinda Lo, MacMillan Publishing Group, LLC, Christie Nichols, Penguin Random House LLC, Simon & Schuster, LLC, Dashka Slater, Sourcebooks, LLC, The Authors Guild, The Donnelly Public Library District. Responses due by 2/25/2025 (Ferguson, Deborah)","429233918","PACER Document","Motion for Pro Hac Vice Appearance","","","12","","06303011755","","","","","","","","",""
"415530427","13","2025-02-04","11:32:39","65","2025-02-04.013","MOTION for Leave to File Excess Pages Deborah A Ferguson appearing for Plaintiffs Melisa Cull, Barbara Ersland, Hachette Book Group, Inc., HarperCollinss Publishers LLC, J.E., Olivia Lanzara, David Levithan, Malinda Lo, MacMillan Publishing Group, LLC, Christie Nichols, Penguin Random House LLC, Simon & Schuster, LLC, Dashka Slater, Sourcebooks, LLC, The Authors Guild, The Donnelly Public Library District. Responses due by 2/25/2025 (Ferguson, Deborah)","429233919","PACER Document","Motion for Leave to File Excess Pages","","2025-02-04 19:48:35.867735+00:00","13","","06303011760","","True","","dbe1480fe703cccd36f7697a60d1e6933e3c0a18","3","633117","https://storage.courtlistener.com/recap/gov.uscourts.idd.56244/gov.uscourts.idd.56244.13.0.pdf","https://archive.org/download/gov.uscourts.idd.56244/gov.uscourts.idd.56244.13.0.pdf","OCR Complete"
