2026-05-16 20:48:47 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-05-17 06:47:32 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-17 06:47:35 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-17 06:47:41 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-17 08:29:23 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-05-17 14:47:07 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-05-17 18:54:59 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-17 18:55:02 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-17 18:55:05 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-18 10:59:25 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-05-19 22:05:29 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-05-19 22:08:13 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-05-20 17:13:48 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-05-21 08:01:03 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-05-21 11:44:28 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-05-21 13:11:23 [info] [ClaudeSSHManager] Initialized with version <blob>
