OFFICIAL ELECTION RESULTS
BLAINE
Contest Name,Candidate Name,Party,Early Voting Votes,Mail Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported
"Total Precincts Reported","16"
"State Senator District 26 - Democratic","Ron Taylor","DEM","269","1920","851","0","3040","16","16"
"State Senator District 26 - Republican","Laurie Lickley","REP","143","552","144","0","839","16","16"
"State Representative District 26 Seat A - Democratic","Ned W Burns","DEM","269","1939","856","0","3064","16","16"
"State Representative District 26 Seat A - Republican","Kally Schiffler","REP","47","309","81","0","437","16","16"
"State Representative District 26 Seat A - Republican","Mike Pohanka","REP","115","370","110","0","595","16","16"
"State Representative District 26 Seat B - Democratic","Chris Hansen","DEM","262","1827","801","0","2890","16","16"
"State Representative District 26 Seat B - Republican","Jack Nelsen","REP","111","329","102","0","542","16","16"
"State Representative District 26 Seat B - Republican","Lyle Johnstone","REP","58","361","91","0","510","16","16"
"US Representative District 2 - Constitution","Idaho Law - Carta Sierra","CON","0","2","0","0","2","16","16"
"US Representative District 2 - Constitution","Pro-Life","CON","0","0","1","0","1","16","16"
"US Representative District 2 - Democratic","David Roth","DEM","255","1803","789","0","2847","16","16"
"County Commissioner District 1 - Democratic","Chris Johnson","DEM","67","360","166","0","593","16","15"
"County Commissioner District 1 - Democratic","Lindsay Mollineaux","DEM","212","1705","771","0","2688","16","15"
"County Commissioner District 3 - Democratic","Angenie McCleary","DEM","253","1855","815","0","2923","16","15"
"County Sheriff - Democratic","Morgan Ballis","DEM","123","1301","438","0","1862","16","15"
"County Sheriff - Democratic","Steve Harkins","DEM","160","931","524","0","1615","16","15"
"County Prosecuting Attorney - Democratic","Matt Fredback","DEM","261","1886","824","0","2971","16","15"
"Precinct 01 Committeeman - Democratic","Candice Stark","DEM","34","117","73","0","224","1","1"
"Precinct 02 Committeeman - Democratic","LeRoy Hayes","DEM","24","131","40","0","195","1","1"
"Precinct 04 Committeeman - Democratic","GG Luke","DEM","23","167","43","0","233","1","1"
"Precinct 05 Committeeman - Democratic","Chantal Westerman","DEM","26","99","78","0","203","1","1"
"Precinct 06 Committeeman - Democratic","Lara McLean","DEM","13","67","36","0","116","1","1"
"Precinct 07 Committeeman - Democratic","Dana Dugan","DEM","29","170","74","0","273","1","1"
"Precinct 08 Committeeman - Democratic","Patricia Dorr","DEM","24","186","122","0","332","1","1"
"Precinct 10 Committeeman - Democratic","Pedro Manuel Miramontes Ortiz","DEM","5","112","37","0","154","1","1"
"Precinct 11 Committeeman - Democratic","Karen Bliss","DEM","8","139","42","0","189","1","1"
"Precinct 12 Committeeman - Democratic","Linda McMahon","DEM","11","30","25","0","66","1","1"
"Precinct 15 Committeeman - Democratic","Pamela Ridgway","DEM","9","39","28","0","76","1","1"
"US Representative District 2 - Libertarian","Todd Corsetti","LIB","3","11","3","0","17","16","16"
"US Representative District 2 - Republican","Scott Cleveland","REP","43","213","51","0","307","16","16"
"US Representative District 2 - Republican","Sean Higgins","REP","12","55","10","0","77","16","16"
"US Representative District 2 - Republican","Mike Simpson","REP","127","469","150","0","746","16","16"
"County Sheriff - Republican","Aaron Hughston","REP","118","409","117","0","644","16","15"
"Precinct 01 Committeeman - Republican","Darcy Creech","REP","8","29","14","0","51","1","1"
"Precinct 02 Committeeman - Republican","Adam Chafetz","REP","27","48","19","0","94","1","1"
"Precinct 03 Committeeman - Republican","Jill Williams","REP","20","41","11","0","72","1","1"
"Precinct 04 Committeeman - Republican","Juanita Young","REP","9","35","7","0","51","1","1"
"Precinct 05 Committeeman - Republican","Maria Gerhardt","REP","14","33","20","0","67","1","1"
"Precinct 06 Committeeman - Republican","Brian Opp","REP","10","18","6","0","34","1","1"
"Precinct 07 Committeeman - Republican","Phil Rainey","REP","7","36","6","0","49","1","1"
"Precinct 08 Committeeman - Republican","Heather Lauer","REP","2","30","10","0","42","1","1"
"Precinct 09 Committeeman - Republican","Debbie O'Neill","REP","3","19","7","0","29","1","1"
"Precinct 11 Committeeman - Republican","Andrea Parker","REP","2","34","7","0","43","1","1"
"Precinct 12 Committeeman - Republican","Shawn Grow","REP","6","30","7","0","43","1","1"
"Precinct 13 Committeeman - Republican","John Casey","REP","5","78","6","0","89","1","1"
"Precinct 14 Committeeman - Republican","Sherie Taylor","REP","2","83","4","0","89","1","1"
"Precinct 15 Committeeman - Republican","Nicholas Purdy","REP","12","39","12","0","63","1","1"
"Justice of the Supreme Court - To Succeed: G. Richard Bevan","G. Richard Bevan","NON","401","2495","947","0","3843","16","16"
"Judge of the Court of Appeals - To Succeed: David W. Gratton","David W. Gratton","NON","401","2443","917","0","3761","16","16"
"Judge of the Court of Appeals - To Succeed: Jessica Marie Lorello","Jessica Marie Lorello","NON","395","2451","918","0","3764","16","16"
"City of Bellevue Special Municipal Revenue - Bond","In Favor Of","NON","18","238","64","0","320","1","1"
"City of Bellevue Special Municipal Revenue - Bond","Against","NON","11","112","18","0","141","1","1"
"Blaine County School District NO. 61 Supplemental - Levy","In Favor Of","NON","348","2358","865","0","3571","16","15"
"Blaine County School District NO. 61 Supplemental - Levy","Against","NON","136","784","334","0","1254","16","15"
