UNOFFICIAL ELECTION RESULTS
ADA
Contest Name,Candidate Name,Party,Early Voting Votes,Absentee Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported
"Total Precincts Reported","193"
"United States President","Joel Skousen","CON","38","31","217","0","286","206","201"
"United States President","Kamala D. Harris","DEM","23035","26680","47520","0","97235","206","201"
"United States President","Chase Oliver","LIB","176","203","935","0","1314","206","201"
"United States President","Donald J. Trump","REP","39455","12322","71961","0","123738","206","201"
"United States President","Claudia De la Cruz","IND","68","57","269","0","394","206","201"
"United States President","Shiva Ayyadurai","IND","21","9","71","0","101","206","201"
"United States President","Randall Terry","IND","50","29","148","0","227","206","201"
"United States President","Jill Stein","IND","134","153","709","0","996","206","201"
"United States President","Robert F Kennedy Jr.","IND","558","356","2153","0","3067","206","201"
"United States President","Brian Larry Kienitz","IND","0","0","0","0","0","206","201"
"United States President","Peter Sonski","IND","0","0","0","0","0","206","201"
"United States President","Unassigned write-ins","","325","359","1122","0","1806","206","201"
"United States Representative District 1","Brendan J. Gomez","CON","552","85","1145","0","1782","101","201"
"United States Representative District 1","Kaylee Peterson","DEM","8008","5361","13928","0","27297","101","201"
"United States Representative District 1","Matt Loesby","LIB","561","133","1683","0","2377","101","201"
"United States Representative District 1","Russ Fulcher","REP","28315","6189","40107","0","74611","101","201"
"United States Representative District 1","David D Bot","IND","0","0","0","0","0","101","201"
"United States Representative District 1","Margot Dupre","IND","0","0","0","0","0","101","201"
"United States Representative District 1","Unassigned write-ins","","20","10","65","0","95","101","201"
"United States Representative District 2","Idaho Law - Carta Sierra","CON","306","177","1263","0","1746","105","201"
"United States Representative District 2","David Roth","DEM","12602","18630","27969","0","59201","105","201"
"United States Representative District 2","Todd Corsetti","LIB","942","631","3610","0","5183","105","201"
"United States Representative District 2","Mike Simpson","REP","10555","8039","29397","0","47991","105","201"
"State Senator District 10","Letishia Silva","DEM","400","597","665","0","1662","7","201"
"State Senator District 10","Tammy Nichols","REP","3062","1152","3950","0","8164","7","201"
"State Representative District 10 Seat A","Nancy Parker","DEM","398","587","661","0","1646","7","201"
"State Representative District 10 Seat A","Mike Moyle","REP","3067","1163","3966","0","8196","7","201"
"State Representative District 10 Seat B","Shana Tremaine","DEM","398","582","646","0","1626","7","201"
"State Representative District 10 Seat B","Bruce D. Skaug","REP","3049","1141","3908","0","8098","7","201"
"State Senator District 14","Kirsten Faith Richardson","CON","1390","729","1190","0","3309","19","201"
"State Senator District 14","C. Scott Grow","REP","7326","2922","6521","0","16769","19","201"
"State Representative District 14 Seat A","Ted Hill","REP","7514","2817","6712","0","17043","19","201"
"State Representative District 14 Seat A","Pro-Life (A person formerly known as Marvin Richardson)","","0","0","0","0","0","19","201"
