photo,name,subtitle
d1504_Mz.jpg,Journalist George Packer,Covering the War in Iraq
d1512_Mz.jpg,Journalist John Hockenberry,War Zones and Wheelchairs
d1513_Mz.jpg,Former Diplomat Shashi Tharoor,India in the Global Economy
d1514_Mz.jpg,Writer Ethan Watters,Found Families and Generational Change
d1602_Mz.jpg,Journalist Gretchen Morgenson,The Roots of the Financial Crisis
d1612_Mz.jpg,Historian Annette Gordon-Reed,Sally Hemings of Monticello
d1613_Mz.jpg,Dr. Abraham Verghese,Literature and Medicine
d1614_Mz.jpg,Writer Philip Gourevitch,"Unspeakable, Unthinkable, Unimaginable"
d1712_Mz.jpg,Former Child Soldier Ishmael Beah,A Long Way Gone
d1713_Mz.jpg,Travel Writer Pico Iyer,Asking Questions of the World
d1714_Mz.jpg,Former Diplomat Strobe Talbott,Global Governance and Climate Change
d1715_Mz.jpg,Historian David Kennedy,Lessons from the Great Depression
