"year","code","name","municipality","state","loaded_total","unloaded_total","unknown_total","total_weapon_count","throughput","rate","id","type","latitude_deg","longitude_deg","elevation_ft","iso_country","iso_region","state_abbr","wikipedia_link"
"2024","IDA","Idaho Falls Regional Airport","Idaho Falls","Idaho","13",,,"13","338770","3.8","3606","medium_airport","43.514599","-112.070999","4744","US","US-ID","ID","https://en.wikipedia.org/wiki/Idaho_Falls_Regional_Airport"
"2021","IDA","Idaho Falls Regional Airport","Idaho Falls","Idaho","4",,,"4","244464","1.6","3606","medium_airport","43.514599","-112.070999","4744","US","US-ID","ID","https://en.wikipedia.org/wiki/Idaho_Falls_Regional_Airport"
"2022","IDA","Idaho Falls Regional Airport","Idaho Falls","Idaho","7","1",,"8","346776","2.3","3606","medium_airport","43.514599","-112.070999","4744","US","US-ID","ID","https://en.wikipedia.org/wiki/Idaho_Falls_Regional_Airport"
"2023","IDA","Idaho Falls Regional Airport","Idaho Falls","Idaho","3",,,"3","346776","0.9","3606","medium_airport","43.514599","-112.070999","4744","US","US-ID","ID","https://en.wikipedia.org/wiki/Idaho_Falls_Regional_Airport"
"2020","IDA","Idaho Falls Regional Airport","Idaho Falls","Idaho","2",,,"2","110738","1.8","3606","medium_airport","43.514599","-112.070999","4744","US","US-ID","ID","https://en.wikipedia.org/wiki/Idaho_Falls_Regional_Airport"
"2023","PIH","Pocatello Regional Airport","Pocatello","Idaho","1",,,"1","12228","8.2","3776","medium_airport","42.9098014831543","-112.596000671387","4452","US","US-ID","ID","https://en.wikipedia.org/wiki/Pocatello_Regional_Airport"
"2024","SUN","Friedman Memorial Airport","Hailey","Idaho",,"1",,"1","134474","0.7","21118","medium_airport","43.50439835","-114.2959976","5318","US","US-ID","ID","https://en.wikipedia.org/wiki/Friedman_Memorial_Airport"
"2023","SUN","Friedman Memorial Airport","Hailey","Idaho","1",,,"1","109923","0.9","21118","medium_airport","43.50439835","-114.2959976","5318","US","US-ID","ID","https://en.wikipedia.org/wiki/Friedman_Memorial_Airport"
"2021","TWF","Joslin Field Magic Valley Regional Airport","Twin Falls","Idaho","1",,,"1","38057","2.6","3935","medium_airport","42.4818","-114.487999","4154","US","US-ID","ID","https://en.wikipedia.org/wiki/Magic_Valley_Regional_Airport"
"2024","BOI","Boise Air Terminal/Gowen Field","Boise","Idaho","43","6",,"49","2775972","1.8","3421","medium_airport","43.5644","-116.223","2871","US","US-ID","ID","https://en.wikipedia.org/wiki/Boise_Airport"
"2022","BOI","Boise Air Terminal/Gowen Field","Boise","Idaho","36","4",,"40","2383288","1.7","3421","medium_airport","43.5644","-116.223","2871","US","US-ID","ID","https://en.wikipedia.org/wiki/Boise_Airport"
"2020","BOI","Boise Air Terminal/Gowen Field","Boise","Idaho","19","3",,"22","1069930","2.1","3421","medium_airport","43.5644","-116.223","2871","US","US-ID","ID","https://en.wikipedia.org/wiki/Boise_Airport"
"2021","BOI","Boise Air Terminal/Gowen Field","Boise","Idaho","31","3",,"34","1992940","1.7","3421","medium_airport","43.5644","-116.223","2871","US","US-ID","ID","https://en.wikipedia.org/wiki/Boise_Airport"
"2023","BOI","Boise Air Terminal/Gowen Field","Boise","Idaho","39","3",,"42","2383288","1.8","3421","medium_airport","43.5644","-116.223","2871","US","US-ID","ID","https://en.wikipedia.org/wiki/Boise_Airport"
"2022","LWS","Lewiston Nez Perce County Airport","Lewiston","Idaho",,"1",,"1","44366","2.3","20393","medium_airport","46.3745002746582","-117.014999389648","1442","US","US-ID","ID","https://en.wikipedia.org/wiki/Lewiston-Nez_Perce_County_Airport"
"2021","LWS","Lewiston Nez Perce County Airport","Lewiston","Idaho",,"1",,"1","33451","3","20393","medium_airport","46.3745002746582","-117.014999389648","1442","US","US-ID","ID","https://en.wikipedia.org/wiki/Lewiston-Nez_Perce_County_Airport"
"2024","LWS","Lewiston Nez Perce County Airport","Lewiston","Idaho","1",,,"1","59236","1.7","20393","medium_airport","46.3745002746582","-117.014999389648","1442","US","US-ID","ID","https://en.wikipedia.org/wiki/Lewiston-Nez_Perce_County_Airport"
"2024","SDY","Sidney - Richland Regional Airport","Sidney","Montana","1",,,"1","7821","12.8","21046","medium_airport","47.705141","-104.194422","1985","US","US-MT","MT","https://en.wikipedia.org/wiki/Sidney%E2%80%93Richland_Municipal_Airport"
"2023","SDY","Sidney - Richland Regional Airport","Sidney","Montana","1",,,"1","6681","15","21046","medium_airport","47.705141","-104.194422","1985","US","US-MT","MT","https://en.wikipedia.org/wiki/Sidney%E2%80%93Richland_Municipal_Airport"
"2020","GDV","Dawson Community Airport","Glendive","Montana",,"1",,"1","1602","62.4","19936","medium_airport","47.137658","-104.80691","2458","US","US-MT","MT","https://en.wikipedia.org/wiki/Dawson_Community_Airport"
