"Category","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Average","Total"
"All Income Sources",143.30,989.04,851.55,684.59,1012.79,1621.23,3085.56,1436.36,1678.59,720.97,1222.40,12223.98
"ATM Cash",0.00,0.00,0.00,0.00,0.00,70.00,0.00,0.00,0.00,0.00,7.00,70.00
"Dollar Tree",0.00,0.00,0.00,0.00,7.71,530.34,427.84,505.93,747.69,229.75,244.93,2449.26
"Idaho Central Credit Union",0.43,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.70
"Idaho Public Television",142.87,964.04,846.38,684.32,930.42,930.44,1395.64,930.43,930.43,466.22,822.12,8221.19
"Owyhee Avalanche",0.00,0.00,0.00,0.00,74.66,0.00,0.00,0.00,0.00,0.00,7.47,74.66
"Spokane Teachers Credit Union",0.00,0.00,5.17,0.00,0.00,0.45,0.00,0.00,0.47,0.00,0.61,6.09
"State of Idaho",0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,9.00,90.00
"US Treasury",0.00,0.00,0.00,0.00,0.00,0.00,1262.08,0.00,0.00,0.00,126.21,1262.08
"Wells Fargo",0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,5.00,50.00
"Total Income",143.30,989.04,851.55,684.59,1012.79,1621.23,3085.56,1436.36,1678.59,720.97,1222.40,12223.98
"Food & Goods",-814.34,-679.73,-747.46,-752.91,-667.90,-546.61,-818.92,-758.15,-800.87,-427.76,-701.47,-7014.65
"Groceries",-169.82,-223.37,-237.33,-319.81,-155.63,-260.30,-359.39,-365.89,-295.26,-179.09,-256.59,-2565.89
"Convenience Store",-142.52,-90.20,-56.40,-102.23,-107.83,-51.03,-81.80,-68.50,-31.58,-70.00,-80.21,-802.09
"Restaurant",-47.25,-42.16,-13.20,-108.10,-57.38,-47.65,-147.41,-75.81,-107.56,-47.82,-69.43,-694.34
"Fast Food",-454.75,-324.00,-440.53,-222.77,-347.06,-187.63,-230.32,-247.95,-366.47,-130.85,-295.23,-2952.33
"Housing & Utilities",-400.00,-400.00,-400.00,-400.00,-1180.34,598.16,-587.20,-424.48,-259.06,-796.51,-424.94,-4249.43
"Rent",-400.00,-400.00,-400.00,-400.00,-1135.00,618.74,-515.63,-309.38,-206.25,-618.75,-376.63,-3766.27
"Home Insurance",0.00,0.00,0.00,0.00,-45.34,7.15,-3.81,-0.01,-3.77,-11.37,-5.71,-57.15
"Sewer",0.00,0.00,0.00,0.00,0.00,-1.69,-6.33,-6.66,-6.41,-6.63,-2.77,-27.72
"Trash",0.00,0.00,0.00,0.00,0.00,-1.23,-4.03,-3.26,-3.09,-3.38,-1.50,-14.99
"Water",0.00,0.00,0.00,0.00,0.00,-1.01,-3.93,-3.86,-4.15,-4.15,-1.71,-17.10
"Electric",0.00,0.00,0.00,0.00,0.00,0.00,9.99,-49.38,12.15,-119.62,-14.69,-146.86
"Internet",0.00,0.00,0.00,0.00,0.00,-3.80,-24.46,-16.93,-12.54,-32.61,-9.03,-90.34
"Laundry",0.00,0.00,0.00,0.00,0.00,-20.00,-39.00,-35.00,-35.00,0.00,-12.90,-129.00
"Regular Expenses",-149.99,-16.99,-82.00,-7.00,-36.95,-7.00,-7.00,-1.00,-1.00,-1.00,-30.99,-309.93
"Dues/Membership",0.00,-12.00,-81.00,-6.00,-6.00,-6.00,-6.00,0.00,0.00,0.00,-11.70,-117.00
"Subscriptions",-5.99,-4.99,-1.00,-1.00,-30.95,-1.00,-1.00,-1.00,-1.00,-1.00,-4.89,-48.93
"Website",-144.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-14.40,-144.00
"Irregular Expenses",0.00,-171.48,-10.74,0.00,-81.02,-121.00,-16.80,0.00,0.00,-10.00,-41.10,-411.04
"Events",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,-1.00,-10.00
"Transportation",0.00,0.00,-6.00,0.00,-3.25,-121.00,-16.80,0.00,0.00,0.00,-14.71,-147.05
"Postal Services",0.00,-30.00,-4.74,0.00,-57.75,0.00,0.00,0.00,0.00,0.00,-9.25,-92.49
"Clothing",0.00,0.00,0.00,0.00,-20.02,0.00,0.00,0.00,0.00,0.00,-2.00,-20.02
"Computer",0.00,-141.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-14.15,-141.48
"Unplanned Purchases",-136.90,-1255.77,-280.30,-150.80,-49.00,-89.73,-193.49,-4.00,7.33,0.00,-215.27,-2152.66
"Fun Money",-20.00,-81.97,0.00,-10.99,-53.00,0.00,0.00,0.00,-20.00,0.00,-18.60,-185.96
"Intoxicants",-90.00,-589.00,-202.00,-118.00,4.00,-20.00,0.00,0.00,0.00,0.00,-101.50,-1015.00
"Plants/Garden",0.00,-111.25,-78.30,-21.81,0.00,0.00,-74.16,0.00,0.00,0.00,-28.55,-285.52
"Books",-26.90,0.00,0.00,0.00,0.00,-30.81,0.00,-4.00,0.00,0.00,-6.17,-61.71
"Phone",0.00,-38.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.81,-38.14
"Games",0.00,0.00,0.00,0.00,0.00,-38.92,0.00,0.00,-22.67,0.00,-6.16,-61.59
"Toys",0.00,-370.42,0.00,0.00,0.00,0.00,-119.33,0.00,0.00,0.00,-48.98,-489.75
"Gifts",0.00,-64.99,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,-1.50,-14.99
"Financing",-102.12,687.24,-31.81,25.39,-620.11,-114.23,-86.73,-126.59,-1.59,-1.59,-37.21,-372.14
"Revenue Sharing",-300.00,255.89,-20.00,46.00,296.00,-37.00,-50.00,-115.00,0.00,0.00,7.59,75.89
"Fees",-7.12,-14.45,-6.50,-10.54,-40.44,-38.18,-13.34,-1.59,-1.59,-1.59,-13.53,-135.34
"Interest",0.00,-7.20,-5.31,-10.07,-9.39,-14.05,-23.39,0.00,0.00,0.00,-6.94,-69.41
"Deposits",-25.00,0.00,0.00,0.00,-775.00,-25.00,0.00,0.00,0.00,0.00,-82.50,-825.00
"Applications",0.00,-60.00,0.00,0.00,-91.28,0.00,0.00,0.00,0.00,0.00,-15.13,-151.28
"Giving",230.00,513.00,0.00,0.00,0.00,0.00,0.00,-10.00,0.00,0.00,73.30,733.00
"Total Expenses",-1603.35,-1836.73,-1552.31,-1285.32,-2635.32,-280.41,-1710.14,-1314.22,-1055.19,-1236.86,-1450.98,-14509.85
"Net Income",-1460.05,-847.69,-700.76,-600.73,-1622.53,1340.82,1375.42,122.14,623.40,-515.89,-228.59,-2285.87
