"Category Group","Category","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Average","Total"
"Food & Goods","Groceries",-169.82,-223.37,-237.33,-319.81,-155.63,-260.30,-359.39,-365.89,-295.26,-205.59,-261.35,-11.67,-238.78,-2865.41
"Food & Goods","Convenience Store",-142.52,-90.20,-56.40,-102.23,-107.83,-51.03,-81.80,-68.50,-31.58,-107.18,-184.70,0.00,-85.33,-1023.97
"Food & Goods","Restaurant",-47.25,-42.16,-13.20,-108.10,-57.38,-47.65,-147.41,-75.81,-107.56,-74.14,-57.24,0.00,-64.83,-777.90
"Food & Goods","Fast Food",-454.75,-324.00,-440.53,-222.77,-347.06,-187.63,-230.32,-247.95,-366.47,-183.36,-155.40,0.00,-263.35,-3160.24
"Food & Goods","Intoxicants",-90.00,-589.00,-202.00,-118.00,4.00,-20.00,0.00,0.00,0.00,0.00,-73.50,0.00,-90.71,-1088.50
"Rent","Rent",-400.00,-400.00,-400.00,-400.00,-1135.00,618.74,-515.63,-309.38,-206.25,-412.50,-412.50,-825.00,-399.79,-4797.52
"Utilities","Home Insurance",0.00,0.00,0.00,0.00,-45.34,7.15,-3.81,-0.01,-3.77,-7.57,-7.58,0.00,-5.08,-60.93
"Utilities","Internet",0.00,0.00,0.00,0.00,0.00,-3.80,-24.46,-16.93,-12.54,-20.08,-27.07,0.00,-8.74,-104.88
"Utilities","Electric",0.00,0.00,0.00,0.00,0.00,0.00,9.99,-49.38,-47.66,-59.81,-61.14,-56.82,-22.07,-264.82
"Utilities","Sewer",0.00,0.00,0.00,0.00,0.00,-1.69,-6.33,-6.66,-6.41,-6.63,-6.66,0.00,-2.87,-34.38
"Utilities","Trash",0.00,0.00,0.00,0.00,0.00,-1.23,-4.03,-3.26,-3.09,-3.38,-3.73,0.00,-1.56,-18.72
"Utilities","Water",0.00,0.00,0.00,0.00,0.00,-1.01,-3.93,-3.86,-4.15,-4.15,-2.74,0.00,-1.65,-19.84
"Utilities","Laundry",0.00,0.00,0.00,0.00,0.00,-20.00,-39.00,-35.00,-35.00,-10.00,-25.00,0.00,-13.67,-164.00
"Regular Expenses","Dues/Membership",0.00,-12.00,-81.00,-6.00,-6.00,-6.00,-6.00,0.00,0.00,0.00,0.00,0.00,-9.75,-117.00
"Regular Expenses","Subscriptions",-5.99,-4.99,-1.00,-1.00,-30.95,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-4.24,-50.93
"Regular Expenses","Website",-144.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.00,-144.00
"Irregular Expenses","Events",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,0.00,0.00,-0.83,-10.00
"Irregular Expenses","Transportation",0.00,0.00,-6.00,0.00,-3.25,-121.00,-16.80,0.00,0.00,0.00,0.00,0.00,-12.25,-147.05
"Irregular Expenses","Postal Services",0.00,-30.00,-4.74,0.00,-57.75,0.00,0.00,0.00,0.00,0.00,-4.88,0.00,-8.11,-97.37
"Irregular Expenses","Medical Care",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-356.80,356.80,0.00,0.00,0.00
"Irregular Expenses","Clothing",0.00,0.00,0.00,0.00,-20.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.67,-20.02
"Irregular Expenses","Computer",0.00,-141.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.79,-141.48
"Unplanned Purchases","Fun Money",-20.00,-81.97,0.00,-10.99,-53.00,0.00,0.00,0.00,-20.00,0.00,0.00,-10.99,-16.41,-196.95
"Unplanned Purchases","Plants/Garden",0.00,-111.25,-78.30,-21.81,0.00,0.00,-74.16,0.00,0.00,0.00,-20.00,0.00,-25.46,-305.52
"Unplanned Purchases","Books",-26.90,0.00,0.00,0.00,0.00,-30.81,0.00,-4.00,0.00,0.00,0.00,0.00,-5.14,-61.71
"Unplanned Purchases","Phone",0.00,-38.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.18,-38.14
"Unplanned Purchases","Games",0.00,0.00,0.00,0.00,0.00,-38.92,0.00,0.00,-22.67,0.00,0.00,0.00,-5.13,-61.59
"Unplanned Purchases","Toys",0.00,-370.42,0.00,0.00,0.00,0.00,-119.33,0.00,0.00,0.00,0.00,0.00,-40.81,-489.75
"Unplanned Purchases","Gifts",0.00,-64.99,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,-1.25,-14.99
"Financing","Revenue Sharing",-300.00,255.89,-20.00,46.00,296.00,-37.00,-50.00,-115.00,0.00,0.00,-40.00,0.00,2.99,35.89
"Financing","Fees",-7.12,-14.45,-6.50,-10.54,-40.44,-38.18,-13.34,-1.59,-1.59,-1.59,-31.48,0.00,-13.90,-166.82
"Financing","Interest",0.00,-7.20,-5.31,-10.07,-9.39,-14.05,-23.39,0.00,0.00,0.00,0.00,0.00,-5.78,-69.41
"Financing","Deposits",-25.00,0.00,0.00,0.00,-775.00,-25.00,0.00,0.00,0.00,0.00,-10.00,0.00,-69.58,-835.00
"Financing","Applications",0.00,-60.00,0.00,0.00,-91.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.61,-151.28
"Financing","Giving",230.00,513.00,0.00,0.00,0.00,0.00,0.00,-10.00,0.00,50.00,0.00,0.00,65.25,783.00
